,index,package,github_repo,tags,search_terms,forks,stars,so_questions_counts,downloads,dl_growth_rates
0,0,amcharts,ChimpStudios/AmCharts,[amcharts],[amcharts],33,110,1178,4573,0.0749390974022
1,1,angular-nvd3,krispo/angular-nvd3,[angular-nvd3],[angular-nvd3],349,1238,247,87147,0.0143433317988
2,2,anychart,AnyChart/AnyChart,[anychart],[anychart;anychartjs] ,14,127,101,6554,0.319863072602
3,3,arbor,samizdatco/arbor,[arbor.js],[arbor-js;arbor.js],589,2415,113,2782,0.0818816546242
4,4,billboard.js,naver/billboard.js,[billboard.js],[billboard.js; billboardjs],51,1187,4,899,NA
5,5,britecharts,eventbrite/britecharts,[britecharts],[britecharts],92,2577,0,6445,1.10558106204
6,6,bullet chart,stefanwalther/qvD3BulletCharts,[bullet-chart],[bullet-chart;bulletchart],6,7,287,67,-0.0427851196966
7,7,c3,c3js/c3,[c3;c3.js],[c3;c3.js;c3js],1194,7035,18814,432160,0.0407318193275
8,8,cal-heatmap,wa0x6e/cal-heatmap,[cal-heatmap],[cal-heatmap],198,1688,26,28843,-0.0212911986063
9,9,cartodb,CartoDB/cartodb,[cartodb],[cartodb;carto],440,1524,286,7151,0.148315307495
10,10,cesium,AnalyticalGraphicsInc/cesium,[cesium],[cesium;cesiumjs],1137,2370,462,37328,0.0703746911563
11,11,chart.js,chartjs/Chart.js,[chart.js],[chartjs;chart.js],8001,31614,6133,2259748,0.0510969025843
12,12,chartist,gionkunz/chartist-js,[chartist.js],[chartist;chartistjs],1808,9746,186,243584,0.0613518510755
13,13,chartkick,ankane/chartkick,[chartkick],[chartkick;chartkickjs],438,4400,316,16667,0.161966000576
14,14,chess-dataviz,ebemunk/chess-dataviz,[chess-dataviz],[chess-dataviz],3,30,0,NA,NA
15,15,chroma-js,gka/chroma.js,[chroma.js],[chroma.js],331,4421,0,354589,0.0667918404201
16,16,chroniton,arankek/chroniton,[chroniton],[chroniton],7,103,0,115,0.0358456873181
17,17,cirrus.js,planet-os/cirrusjs,[cirrus.js],[cirrusjs;cirrus.js],5,88,0,NA,NA
18,18,codeflower,fzaninotto/CodeFlower,[codeflower],[codeflower],251,428,0,NA,NA
19,19,colajs,WPAdictos/ColaJS,[colajs],[cola-js;colajs],0,0,39,55,0.0340106914334
20,20,comic.js,balint42/comic.js,[comic.js],[comic.js],13,106,0,NA,NA
21,21,cubism,square/cubism,[cubism.js],[cubism;cubismjs],541,4554,88,2133,-0.057776985543
22,22,cytoscape,cytoscape/cytoscape.js,[cytoscape.js;cytoscape],[cytoscape;cytoscapejs],505,3368,475,64635,0.0332302734348
23,23,d3,d3/d3,[d3.js],[d3;d3js],17505,66969,37725,5022889,0.0403594872079
24,24,d3 cartogram,shawnbot/topogram,[d3-cartogram],[d3-cartogram],118,249,0,5022889,0.0403594872079
25,25,d3 exploder,bsouthga/d3-exploder,[d3-exploder],[d3-exploder],10,77,0,5022889,0.0403594872079
26,26,d3 geo projection,d3/d3-geo-projection,[d3-geo-projection],[d3-geo-projection],118,532,0,5022889,0.0403594872079
27,27,d3 geomap,yaph/d3-geomap,[d3-geomap],[d3-geomap],29,51,0,5022889,0.0403594872079
28,28,d3 simplecharts,mrBigJS/d3-simpleCharts,[d3-simpleCharts],[d3-simpleCharts],2,4,0,5022889,0.0403594872079
29,29,d3 timeseries,mlvl/timeseries,[d3 timeseries],[d3-timeseries],25,59,0,5022889,0.0403594872079
30,30,d3-annotate,cmpolis/d3-annotate,[d3-annotate],[d3-annotate],1,19,0,158,0.0111772327573
31,31,d3-area-label,curran/d3-area-label,[d3-area-label],[d3-area-label],0,18,0,140,NA
32,32,d3-bar,tj/d3-bar,[d3-bar],[d3-bar],6,138,0,444,-0.0646315285192
33,33,d3-bumps-chart,johnwalley/d3-bumps-chart,[d3-bumps-chart],[d3-bumps-chart],1,1,0,1481,0.0859039216119
34,34,d3-chart,misoproject/d3.chart,[d3.chart],[d3-chart],94,753,0,605,0.243371037772
35,35,d3-circle,tj/d3-circle,[d3-circle],[d3-circle],2,112,0,458,-0.047607718813
36,36,d3-cloud,jasondavies/d3-cloud,[d3-cloud],[d3-cloud],756,2171,0,101747,0.0104972428076
37,37,d3-component,curran/d3-component,[d3-component],[d3-component],2,51,0,2899,-0.0369134536386
38,38,d3-composite-projections,rveciana/d3-composite-projections,[d3-composite-projections],[d3-composite-projections],9,36,0,1426,0.131733671517
39,39,d3-context-menu,patorjk/d3-context-menu,[d3-context-menu],[d3-context-menu],30,61,0,1200,0.0139939460874
40,40,d3-dot,tj/d3-dot,[d3-dot],[d3-dot],2,113,0,439,-0.00604294156512
41,41,d3-extended,wbkd/d3-extended,[d3-extended],[d3-extended],22,253,0,903,0.164608246978
42,42,d3-flame-graph,spiermar/d3-flame-graph,[d3-flame-graph],[d3-flame-graph],31,213,0,391,0.0792188306881
43,43,d3-force-gravity,sohamkamani/d3-force-gravity,[d3-force-gravity],[d3-force-gravity],0,17,0,170,0.0491150634216
44,44,d3-funnel,jakezatecky/d3-funnel,[d3-funnel],[d3-funnel],58,158,0,4277,-0.121493535454
45,45,d3-heatmap,tj/d3-heatmap,[d3heatmap],[d3-heatmap;d3heatmap],9,191,186,271,-0.0441419169944
46,46,d3-helpers,bahmutov/d3-helpers,[d3-helpers],[d3-helpers],0,24,0,133496,-0.0315648477441
47,47,d3-history,vijithassar/d3-history,[d3-history],[d3-history],1,37,0,57,0.0340106914334
48,48,d3-horizon-chart,kmandov/d3-horizon-chart,[d3-horizon-chart],[d3-horizon-chart],7,37,0,1096,0.0844578398263
49,49,d3-iconarray,tomgp/d3-iconarray,[d3-iconarray],[d3-iconarray],5,52,0,114,0.0491150634216
50,50,d3-labeler,tinker10/D3-Labeler,[d3-labeler],[d3-labeler],25,143,0,NA,NA
51,51,d3-lasso,skokenes/d3-lasso,[d3-lasso],[d3-lasso],7,51,0,217,-0.0225054759837
52,52,d3-legend,susielu/d3-legend,[d3-legend],[d3-legend],63,521,0,1079,0.459928368428
53,53,d3-line,tj/d3-line,[d3-line],[d3-line],3,105,0,1340,-0.163100390485
