toolkit,growth_rate,search_results
4store,0.289473684211,677
accumulo,0.835365853659,23200
actordb,-0.555555555556,610
aerospike,3.77551020408,9460
agensgraph,1.51515151515,443
alasql,2.34545454545,1050
altibase,0.648648648649,3160
amazon aurora,0.409703504043,26900
apache drill,1.97222222222,6310
apache phoenix,0.502024291498,3030
arangodb,1.05660377358,6560
badger,1.55421686747,227000
bangdb,-0.615384615385,119
basex,0.477419354839,2150
bergdb,2.0,25
bigchaindb,1.04885993485,2370
blazegraph,0.438202247191,841
blueflood,-0.75,246
boltdb,0.575757575758,1040
brightstardb,-0.565217391304,220
cachelot.io,,6
cassandra,0.959459459459,720000
citus,1.59591836735,3250
clickhouse,0.896551724138,4320
cloudkit,0.903669724771,3570
cockroachdb,1.71052631579,3820
codernitydb,15.0,91
comdb2,1.37931034483,308
couchbase,1.32608695652,55300
couchdb,1.86220472441,42400
cratedb,0.752941176471,842
csql,1.21052631579,974
cubicweb,1.57142857143,259
cubrid,2.89285714286,4470
database management library,6.30357142857,944
dataease,0.520833333333,766
dataphor,,133
db4o,1.48372093023,2590
dbase,1.7805907173,39700
densodb,5.0,49
derby,0.159574468085,536000
dgraph,2.80176211454,2670
djondb,1.0,80
druid,1.4347826087,543000
ehcache,1.22857142857,12100
ejdb,-0.307692307692,342
elasticsearch,1.71710526316,475000
elliptics,5.25,211
event store,1.09433962264,3930
exist-db,5.30769230769,5300
extremedb,0.222222222222,907
firebird,1.71212121212,188000
fleetdb,6.0,49
flockdb,0.135802469136,984
foundationdb,3.53299492386,3700
frontbase,0.263157894737,1410
geode,4.33628318584,16200
giraph,0.786885245902,4780
google fusion tables,1.54471544715,2750
grakn.ai,0.244444444444,415
graph engine,3.95652173913,2640
graphite,0.862068965517,441000
greenplum,1.04785894207,42000
griddb,0.729166666667,775
h2,-0.507281553398,1130000
hawkular metrics,-0.168831168831,800
hawq,1.1512195122,3750
hazelcast,0.833333333333,15100
hbase,1.74100719424,324000
heroic,1.93243243243,394000
hgraphdb,1.33333333333,182
hibari,1.02197802198,3660
hive,13.9,685000
hsqldb,0.943820224719,16300
hypergraphdb,0.8,603
hyperleveldb,2.5,220
hypersql,0.509523809524,2190
iboxdb,0.25,70
ignite,1.30845771144,377000
impala,2.63218390805,237000
infinidb,-0.14880952381,1670
infinispan,0.966153846154,5270
influxdb,1.10674157303,22000
infogrid,1.0,599
informix,1.89728096677,57600
ingres,1.49704142012,20300
interbase,2.99115044248,24800
jackrabbit,1.33333333333,11600
janusgraph,0.622580645161,3100
jasdb,5.0,81
jena,1.91,312000
kairosdb,0.342342342342,1160
kyoto cabinet,1.75,437
kyoto tycoon,3.8,213
ledisdb,-0.526315789474,175
leveldb,1.02739726027,10700
libreoffice base,1.35483870968,3650
litedb,0.36036036036,1160
lokijs,1.7,581
lovefield,1.94366197183,1340
luciddb,0.404761904762,510
manticore search,0.0,38
mapd,4.41935483871,5420
mapdb,1.32407407407,1530
mariadb,1.27906976744,562000
memcached,1.30263157895,202000
mnesia,0.717105263158,2150
modeshape,0.244897959184,756
monetdb,11.7307692308,8300
mongodb,0.592920353982,1080000
msql,1.56666666667,11500
mulgara,0.0526315789474,628
mysql,-5.17021276596,6120000
nanolat,0.5,22
ncache,0.417085427136,2180
neo4j,1.51111111111,65900
netezza,1.97701149425,28900
neventstore,-0.4,192
newts,0.46875,9950
nosdb,2.25,263
openoffice.org base,1.77777777778,875
openqm,0.478260869565,255
opentsdb,1.42181818182,4320
oracle berkeley db,-0.0989010989011,1030
orientdb,1.91071428571,9320
origodb,2.0,82
percona server for mongodb,1.58620689655,2640
percona server for mysql,1.23456790123,3460
perst,0.025974025974,1040
pipelinedb,1.18918918919,623
postgres-xl,1.0,1110
postgresql,0.88,1650000
pouchdb,2.21212121212,5290
prestodb,1.97478991597,2050
project voldemort,0.727272727273,663
prometheus,1.91780821918,162000
pyrrho,-0.236111111111,678
raptordb,1.0,132
rasdaman,0.047619047619,703
ravendb,2.26530612245,7740
rdf4j,0.247619047619,987
redis,-0.20697954272,640000
redland,2.31896551724,14600
redstore,-0.65,91
resin cache,1.0,17
rethinkdb,0.826666666667,8820
riak kv,0.833333333333,662
riak ts,1.38461538462,403
rocksdb,0.937743190661,5510
rrdtool,1.03846153846,8460
sap advantage database server,-0.692307692308,224
scalaris,1.41717791411,2660
scidb,0.443548387097,2000
scylladb,1.82170542636,3300
sedna,6.35897435897,6300
senseidb,0.333333333333,145
sequoiadb,5.04,4940
siridb,0.545454545455,88
sisodb,5.0,56
sitewhere,-0.75,279
smallsql,1.0,163
snappydata,1.2875,1140
solr,2.5873015873,221000
spark sql,1.13725490196,26400
sphinx,1.18487394958,421000
sql.js,1.93181818182,1150
sqlite,1.84803921569,752000
strabon,0.44,611
stsdb,4.0,663
swaydb,4.0,7
tajo,1.18333333333,7440
tarantool,1.13004484305,2620
tayzgrid,-0.55,198
teradata,3.32432432432,375000
tidb,1.60416666667,4500
timescaledb,1.55670103093,774
tinkergraph,0.365853658537,478
tokyo cabinet,0.232558139535,1110
tokyo tyrant,2.33333333333,397
tomp2p,5.0,76
torodb,0.411764705882,281
trafodion,1.05555555556,637
txtsql,-0.538461538462,118
upscaledb,-0.428571428571,120
vertica,2.625,35100
virtuoso,1.4670487106,43600
voltdb,1.51898734177,5520
wakandadb,0.0,98
warp 10,1.3125,514
webscalesql,0.253333333333,1330
whitedb,-0.25,130
wiredtiger,0.742765273312,4800
xapian,1.3309352518,2350
zodb,0.405660377358,1300
zookeeper,0.833333333333,74300
