toolkit,growth_rate,search_results
apache mxnet,0.224932249322,23300
apache singa,4.8064516129,5420
bigdl,1.08928571429,1840
caffe,1.36111111111,74500
caffe2,1.13286713287,8470
chainer,0.716417910448,10700
cntk,0.865671641791,14500
datamelt (dmelt),,4
deeplearning4j,2.7191011236,11900
deeppy,-0.555555555556,152
dlib,0.912087912088,8150
dynet,0.821138211382,949
hebel,1.36666666667,2280
intel data analytics acceleration library,-0.733333333333,217
intel math kernel library,0.952755905512,1450
keras,1.28971962617,135000
lasagne,1.2,5400
libpgm,1.0,52
matlab + neural network toolbox,0.876712328767,946
mlpy,3.06896551724,622
nervana neon,0.741935483871,245
nltk,1.76811594203,25100
nolearn,0.244444444444,775
nupic,0.181818181818,930
nvidia digits,0.636029411765,3140
opencv,2.59550561798,240000
opennn,0.988095238095,732
paddlepaddle,1.15656565657,2750
pattern,0.0,88
pgmpy,0.692307692308,154
pybrain,0.473684210526,1810
pyevolve,2.57142857143,294
pymc,0.73381294964,2050
pynlpl,-0.307692307692,72
pytorch,1.61538461538,36900
scikit-image,0.794776119403,2590
scikit-learn,2.37078651685,179000
shogun,5.35443037975,9030
sonnet,2.39473684211,6520
tensorflow,1.79032258065,624000
tflearn,0.858858858859,3210
theano,1.21518987342,40600
torch,1.65306122449,44400
