toolkit,growth_rate,search_results
apache singa,0.6,233
bigdl,0.791176470588,1490
caffe,0.575757575758,46300
caffe2,1.08641975309,3690
chainer,0.95652173913,6590
cntk,1.23622047244,7830
deeplearning4j,0.280701754386,8550
dlib,1.20948616601,2230
dynet,0.660550458716,585
keras,0.962264150943,30800
lasagne,0.548076923077,3350
matconvnet,0.368421052632,2820
mxnet,1.07171314741,18400
nervana neon,0.0232558139535,223
nvidia digits,0.302139037433,2320
opennn,-0.233333333333,506
paddlepaddle,0.943127962085,1150
pytorch,2.36036036036,7740
sonnet,2.72440944882,1920
tensorflow,1.28057553957,98500
tflearn,-0.104,2060
theano,1.13043478261,28400
torch,0.923954372624,18000
