index,package,github_repo,tags,search_terms
0,amcharts,ChimpStudios/AmCharts,[amcharts],[amcharts]
1,angular-nvd3,krispo/angular-nvd3,[angular-nvd3],[angular-nvd3]
2,anychart,AnyChart/AnyChart,[anychart],[anychart;anychartjs] 
3,arbor,samizdatco/arbor,[arbor.js],[arbor-js;arbor.js]
4,billboard.js,naver/billboard.js,[billboard.js],[billboard.js; billboardjs]
5,britecharts,eventbrite/britecharts,[britecharts],[britecharts]
6,bullet chart,stefanwalther/qvD3BulletCharts,[bullet-chart],[bullet-chart;bulletchart]
7,c3,c3js/c3,[c3;c3.js],[c3;c3.js;c3js]
8,cal-heatmap,wa0x6e/cal-heatmap,[cal-heatmap],[cal-heatmap]
9,cartodb,CartoDB/cartodb,[cartodb],[cartodb;carto]
10,cesium,AnalyticalGraphicsInc/cesium,[cesium],[cesium;cesiumjs]
11,chart.js,chartjs/Chart.js,[chart.js],[chartjs;chart.js]
12,chartist,gionkunz/chartist-js,[chartist.js],[chartist;chartistjs]
13,chartkick,ankane/chartkick,[chartkick],[chartkick;chartkickjs]
14,chess-dataviz,ebemunk/chess-dataviz,[chess-dataviz],[chess-dataviz]
15,chroma-js,gka/chroma.js,[chroma.js],[chroma.js]
16,chroniton,arankek/chroniton,[chroniton],[chroniton]
17,cirrus.js,planet-os/cirrusjs,[cirrus.js],[cirrusjs;cirrus.js]
18,codeflower,fzaninotto/CodeFlower,[codeflower],[codeflower]
19,colajs,WPAdictos/ColaJS,[colajs],[cola-js;colajs]
20,comic.js,balint42/comic.js,[comic.js],[comic.js]
21,cubism,square/cubism,[cubism.js],[cubism;cubismjs]
22,cytoscape,cytoscape/cytoscape.js,[cytoscape.js;cytoscape],[cytoscape;cytoscapejs]
23,d3,d3/d3,[d3.js],[d3;d3js]
24,d3-cartogram,shawnbot/topogram,[d3-cartogram],[d3-cartogram]
25,d3-exploder,bsouthga/d3-exploder,[d3-exploder],[d3-exploder]
26,d3-geo-projection,d3/d3-geo-projection,[d3-geo-projection],[d3-geo-projection]
27,d3-geomap,yaph/d3-geomap,[d3-geomap],[d3-geomap]
28,d3-simplecharts,mrBigJS/d3-simpleCharts,[d3-simpleCharts],[d3-simpleCharts]
29,d3-timeseries,mlvl/timeseries,[d3 timeseries],[d3-timeseries]
30,d3-annotate,cmpolis/d3-annotate,[d3-annotate],[d3-annotate]
31,d3-area-label,curran/d3-area-label,[d3-area-label],[d3-area-label]
32,d3-bar,tj/d3-bar,[d3-bar],[d3-bar]
33,d3-bumps-chart,johnwalley/d3-bumps-chart,[d3-bumps-chart],[d3-bumps-chart]
34,d3-chart,misoproject/d3.chart,[d3.chart],[d3-chart]
35,d3-circle,tj/d3-circle,[d3-circle],[d3-circle]
36,d3-cloud,jasondavies/d3-cloud,[d3-cloud],[d3-cloud]
37,d3-component,curran/d3-component,[d3-component],[d3-component]
38,d3-composite-projections,rveciana/d3-composite-projections,[d3-composite-projections],[d3-composite-projections]
39,d3-context-menu,patorjk/d3-context-menu,[d3-context-menu],[d3-context-menu]
40,d3-dot,tj/d3-dot,[d3-dot],[d3-dot]
41,d3-extended,wbkd/d3-extended,[d3-extended],[d3-extended]
42,d3-flame-graph,spiermar/d3-flame-graph,[d3-flame-graph],[d3-flame-graph]
43,d3-force-gravity,sohamkamani/d3-force-gravity,[d3-force-gravity],[d3-force-gravity]
44,d3-funnel,jakezatecky/d3-funnel,[d3-funnel],[d3-funnel]
45,d3-heatmap,tj/d3-heatmap,[d3heatmap],[d3-heatmap;d3heatmap]
46,d3-helpers,bahmutov/d3-helpers,[d3-helpers],[d3-helpers]
47,d3-history,vijithassar/d3-history,[d3-history],[d3-history]
48,d3-horizon-chart,kmandov/d3-horizon-chart,[d3-horizon-chart],[d3-horizon-chart]
49,d3-iconarray,tomgp/d3-iconarray,[d3-iconarray],[d3-iconarray]
50,d3-labeler,tinker10/D3-Labeler,[d3-labeler],[d3-labeler]
51,d3-lasso,skokenes/d3-lasso,[d3-lasso],[d3-lasso]
52,d3-legend,susielu/d3-legend,[d3-legend],[d3-legend]
53,d3-line,tj/d3-line,[d3-line],[d3-line]
54,d3-loom,nbremer/d3-loom,[d3-loom],[d3-loom]
55,d3-message-sequence,koudelka/d3-message-sequence,[d3-message-sequence],[d3-message-sequence]
56,d3-nelson-rules,53seven/d3-nelson-rules,[d3-nelson-rules],[d3-nelson-rules]
57,d3-peaks,efekarakus/d3-peaks,[d3-peaks],[d3-peaks]
58,d3-resume,glena/d3-resume,[d3-resume],[d3-resume]
59,d3-ring-note,armollica/d3-ring-note,[d3-ring-note],[d3-ring-note]
60,d3-scale-cluster,schnerd/d3-scale-cluster,[d3-scale-cluster],[d3-scale-cluster]
61,d3-sparql,zazuko/d3-sparql,[d3-sparql],[d3-sparql]
62,d3-starterkit,1wheel/d3-starterkit,[d3-starterkit],[d3-starterkit]
63,d3-svg-circularbrush,emeeks/d3.svg.circularbrush,[d3-svg-circularbrush],[d3-svg-circularbrush]
64,d3-svg-ribbon,emeeks/d3.svg.ribbon,[d3-svg-ribbon],[d3-svg-ribbon]
65,d3-swoopy-drag,1wheel/swoopy-drag,[d3-swoopy-drag],[d3-swoopy-drag]
66,d3-timeline,jiahuang/d3-timeline,[d3-timeline],[d3-timeline]
67,d3-tip,Caged/d3-tip,[d3-tip],[d3-tip]
68,d3-tipy,tj/d3-tipy,[d3-tipy],[d3-tipy]
69,d3-trail,bmschmidt/D3-trail,[d3-trail],[d3-trail]
70,d3-xray,vijithassar/d3-xray,[d3-xray],[d3-xray]
71,d3.chart.sankey,q-m/d3.chart.sankey,[d3-chart-sankey],[d3.chart.sankey]
72,d3.compose,CSNW/d3.compose,[d3-compose],[d3-compose]
73,d3.geo2rect,sebastian-meier/d3.geo2rect,[d3.geo2rect],[d3.geo2rect]
74,d3.sketchy,sebastian-meier/d3.sketchy,[d3.sketchy],[d3.sketchy]
75,d3act,AnSavvides/d3act,[d3act],[d3act]
76,d3fc,d3fc/d3fc,[d3fc],[d3fc]
77,d3kit,twitter/d3kit,[d3kit],[d3kit]
78,d3kit-timeline,kristw/d3kit-timeline,[d3kit-timeline],[d3kit-timeline]
79,d3moji,mathisonian/d3moji,[d3moji],[d3moji]
80,d3panels,kbroman/d3panels,[d3panels],[d3panels;d3-panels]
81,d3pie,benkeen/d3pie,[d3pie.js],[d3pie;d3piejs]
82,d3plus,alexandersimoes/d3plus,[d3plus],[d3plus]
83,d3plus-text,d3plus/d3plus-text,[d3plus-text],[d3plus-text]
84,d3scription,GlobalWebIndex/d3scription,[d3scription],[d3scription]
85,d3slider,TimeMagazine/d3slider,[d3slider],[d3slider]
86,d3xter,NathanEpstein/D3xter,[d3xter],[d3xter]
87,d4,heavysixer/d4,[d4],[d4]
88,dagre-d3,cpettitt/dagre-d3,[dagre-d3],[dagre]
89,datamaps,markmarkoh/datamaps,[datamaps],[datamaps]
90,dc,dc-js/dc.js,[dc.js],[dcjs;dc.js;dc-js]
91,deck.gl,uber/deck.gl,[deck.gl],[deck.gl]
92,dimple,PMSI-AlignAlytics/dimple,[dimple.js],[dimple;dimplejs]
94,dragit,azinasili/dragit,[d3-dragit],[d3-dragit]
95,dtree,ErikGartner/dTree,[dtree],[d3-dtree]
96,dygraphs,danvk/dygraphs,[dygraphs],[dygraphs]
97,echarts,ecomfe/echarts,[echarts],[echarts;echartsjs]
98,ejscharts,EmpriseCorporation/EJSCharts,[ejs-chart],[ejs-chart;ejscharts]
99,ember-charts,Addepar/ember-charts,[ember-charts],[ember-charts;embercharts]
100,envision,HumbleSoftware/envisionjs,[envision.js],[envision.js]
101,epoch-charting,epochjs/epoch,[epoch-charting],[epoch-charting]
102,eventDrops,marmelab/EventDrops,[eventdrops],[eventdrops]
103,fancycharts,ahoiin/Fancycharts.js,[fancycharts],[fancycharts]
104,firespray,boundary/firespray,[firespray],[firespray]
105,flot,flot/flot,[flot],[flot;flotjs]
106,flotr2,HumbleSoftware/Flotr2,[flotr2],[flotr2]
107,forest-d3,robinfhu/forest-d3,[forest-d3],[forest-d3]
108,fusioncharts,fusioncharts/fusionmaps-dist,[fusioncharts],[fusioncharts]
109,gantt-chart,dk8996/Gantt-Chart,[gantt-chart],[gantt-chart]
110,graph-scroll,1wheel/graph-scroll,[graph-scroll.js],[graph-scroll.js]
111,graphael,jjacobson93/graphael,[graphael],[graphael;graphaeljs]
112,highcharts,highcharts/highcharts,[highcharts],[highcharts;highchartsjs]
113,insights,ignacioola/insights,[insights],[d3insights]
114,iopctrl,metormote/iopctrl,[iopctrl],[iopctrl]
115,jenscript,sjanaud/jenscript,[jenscript],[jenscript]
116,jetpack,gka/d3-jetpack,[d3-jetpack],[d3-jetpack]
117,jqplot,jqPlot/jqPlot,[jqplot],[jqplot]
118,jquery-mapael,neveldo/jQuery-Mapael,[mapael],[mapael]
119,jquery-sparkline,gwatts/jquery.sparkline,[sparklines],[jquery-sparkline;jquery-sparklines]
120,jsdoc2diagram,amcmillan01/jsdoc2diagram,[jsdoc2diagram],[jsdoc2diagram]
121,jsxgraph,jsxgraph/jsxgraph,[jsxgraph],[jsxgraph]
122,kartograph-js,kartograph/kartograph.js,[kartograph],[kartograph;kartographjs]
123,keen-dataviz,keen/keen-dataviz.js,[keen-dataviz.js;keen-dataviz],[keen-dataviz]
124,kodama,y310/kodama,[kodama],[kodama]
125,koto,kotojs/kotojs,[koto],[koto;kotojs]
126,leaflet,Leaflet/Leaflet,[leaflet],[leaflet]
127,leaflet-d3,Asymmetrik/leaflet-d3,[dc.leaflet.js],[dc.leaflet.js]
128,leaflet-dvf,humangeo/leaflet-dvf,[leaflet-dvf],[leaflet-dvf]
129,mapmap,mapmapteam/mapmap,[mapmap],[mapmap]
130,mapsense.js,mapsense/mapsense.js,[mapsense.js],[mapsense.js]
131,maptable,Packet-Clearing-House/maptable,[maptable],[maptable]
132,mermaid,knsv/mermaid,[mermaid],[d3-mermaid]
133,metrics-graphics,mozilla/metrics-graphics,[metricsgraphicsjs],[metrics-graphics;metricsgraphicsjs]
134,micropolar,biovisualize/micropolar,[micropolar],[micropolar]
135,modestmaps,stamen/modestmaps-js,[modestmaps.js],[modestmap;modestmapsjs]
136,morris.js,morrisjs/morris.js,[morris.js],[morris-charts;morrisjs;morris.js]
137,mpld3,mpld3/mpld3,[mpld3],[mpld3]
138,n3-charts,n3-charts/line-chart,[n3-charts],[n3-charts;n3-line-chart]
139,netvis,dborzov/netvis,[netvis],[netvis]
140,nvd3,novus/nvd3,[nvd3.js],[nvd3;nvd3js]
141,peek,mtmacdonald/peek,[peek-d3],[peek-d3]
142,peity,benpickles/peity,[peity],[peity]
143,piecon,lipka/piecon,[piecon],[piecon]
144,pizza pie charts,zurb/pizza,[pizza-pie-charts],[pizza-pie-charts]
145,plotly.js,plotly/plotly.js,[plotly],[plotly;plotlyjs]
146,plottable,palantir/plottable,[plottable.js;plottable],[plottable;plottablejs]
147,pykcharts,pykih/PykCharts.js,[pykcharts],[pykcharts;pykchartsjs]
148,radar-chart-d3,alangrafu/radar-chart-d3,[radar-chart-d3],[radar-chart-d3]
149,react-d3-map,react-d3/react-d3-map,[react-d3-map],[react-d3-map]
150,react-d3,esbullington/react-d3,[react-d3],[react-d3]
151,react-d3-components,codesuki/react-d3-components,[react-d3-components],[react-d3-components]
152,react-d3-library,react-d3-library/react-d3-library,[react-d3-library],[react-d3-library]
153,react-stockcharts,rrag/react-stockcharts,[react-stockcharts],[react-stockcharts]
154,react-vis,uber/react-vis,[react-vis],[react-vis]
155,recharts,recharts/recharts,[recharts],[recharts]
156,rickshaw,shutterstock/rickshaw,[rickshaw],[rickshaw;rickshawjs]
157,sankey,tamc/Sankey,[sankey],[d3-sankey]
158,sigma,jacomyal/sigma.js,[sigma.js],[sigma-js;sigmajs]
159,simple map,vdw/MapIt,[simple map],[d3-simple-map]
160,smoothie,joewalnes/smoothie,[smoothie.js],[smoothie-charts;smoothie.js;smoothiejs]
161,spam,newsappsio/spam,[d3-spam],[d3-spam]
162,swoopyarrows,bizweekgraphics/swoopyarrows,[swoopyarrows],[swoopyarrows]
163,taucharts,TargetProcess/tauCharts,[taucharts; taucharts.js],[taucharts;tauchartsjs]
164,techan,andredumas/techan.js,[techan.js],[techan; techanjs]
165,textures,riccardoscalco/textures,[textures.js],[textures.js]
166,timelinejs3,NUKnightLab/TimelineJS3,[timelinejs3],[timelinejs3]
167,uvcharts,Imaginea/uvCharts,[uvcharts],[uvcharts]
168,vega,vega/vega,[vega],[vega]
169,victory,FormidableLabs/victory,[victory-charts],[victory-charts]
170,vis.js,almende/vis,[vis.js],[vis.js; visjs]
171,vivagraphjs,anvaka/VivaGraphJS,[vivagraphjs],[vivagraph; vivagraphjs]
