toolkit,full_name,forks,stars
bitcoin,bitcoin/bitcoin,18925,31480
ethereum,ethereum,84,109
ripple,ripple,167,643
bitcoin-cash,Bitcoin-ABC/bitcoin-abc,294,589
eos,EOSIO/eos,1677,6939
litecoin,litecoin-project,35,16
cardano,input-output-hk/cardano-sl,388,2523
stellar,stellar,181,2578
iota,iotaledger,57,1114
tron,tronprotocol,142,1492
neo,neo-project/neo,743,2368
dash,dashpay/dash,763,989
monero,monero-project/monero,1417,2973
nem,NemProject,6,14
vechain,vechain,13,15
tether,hardlydifficult/Crypto/blob/master,818,7963
bytecoin-bcn,bcndev/bytecoin,75,96
ethereum-classic,ethereumproject,130,320
icon,,0,0
qtum,qtumproject/qtum,220,878
binance-coin,binance-exchange,296,1194
omisego,omisego/ewallet,18,150
zcash,zcash/zcash,1199,3671
lisk,LiskHQ,348,2313
zilliqa,Zilliqa/Zilliqa,87,416
aeternity,aeternity/epoch,85,527
bitcoin-gold,satoshilabs/bitcoin-gold,3,4
ontology,ontio/ontology,80,182
verge,vergecurrency/VERGE,388,1291
nano,nanocurrency/raiblocks,417,2049
0x,0xProject,49,956
steem,steemit/steem,527,1389
wanchain,wanchain,48,177
siacoin,NebulousLabs/Sia,412,2654
decred,decred,76,33
populous,bitpopulous,2,41
bytom,Bytom/bytom/tree/master/crypto,235,743
bitshares,Xenland/BitShares,71,35
bitcoin-diamond,eveybcd/BitcoinDiamond,32,75
waves,wavesplatform/WavesDevKit,15,24
stratis,stratisproject,197,459
maker,makerdao,14,19
augur,AugurProject/augur-core,84,416
rchain,rchain/rchain,85,305
dogecoin,dogecoin/dogecoin,763,1889
bitcoin-private,BTCPrivate/BitcoinPrivate,98,248
golem-network-tokens,golemfactory/golem,251,2470
status,status-im,153,409
hshare,HcashOrg/Hshare,27,103
digibyte,digibyte/digibyte,113,229
digixdao,DigixGlobal/digixdao-contracts,15,35
loopring,loopring,40,33
aion,aionnetwork/aion,53,141
waltonchain,Veroxs/waltonchain,0,1
basic-attention-token,brave-intl/basic-attention-token-crowdsale,37,128
nebulas-token,,0,0
ark,ArkEcosystem,139,1103
mixin,,0,0
aelf,AElfProject/AElf,93,401
ardor,,0,0
komodo,KomodoPlatform,26,7
dentacoin,Dentacoin,6,5
loom-network,nigeon/CryptoZombies,6,10
waykichain,WaykiChain/WaykiChain,3,20
pivx,PIVX-Project/PIVX,260,269
mithril,,0,0
kyber-network,kybernetwork,18,36
fusion,boostorg/fusion,37,26
cryptonex,Cryptonex,0,0
elastos,elastos/Elastos,6,12
gas,,0,0
bancor,,0,0
cortex,,0,0
monacoin,monacoinproject/monacoin,74,240
ethos,d11e9/ethos,5,9
reddcoin,reddcoin-project/reddcoin,99,255
substratum,substratum/substratum,108,287
funfair,funfair-tech,0,0
gxchain,gxchain,41,147
skycoin,skycoin/skycoin,209,393
qash,,0,0
centrality,,0,0
power-ledger,,0,0
syscoin,syscoin/syscoin,19,66
dragonchain,dragonchain/dragonchain,142,576
enigma-project,enigmapc,0,1
wax,,0,0
cybermiles,CyberMiles/cybermiles-token,1,8
kin,kinecosystem/kin-token,20,59
matrix-ai-network,webdrmarin/matrix_fansite,0,0
storm,,0,0
nuls,nuls-io/nuls,53,222
veritaseum,veritaseum,8,2
salt,,0,0
zcoin,zcoinofficial/zcoin,211,291
chainlink,smartcontractkit/chainlink,28,206
