toolkit,growth_rate,search_results
bitcoin,7.93333333333,17800000
ethereum,6.92553191489,9750000
ripple,0.0149253731343,7350000
bitcoin-cash,0.993348115299,1600000
eos,0.140877598152,1180000
litecoin,0.359649122807,2710000
cardano,5.0,563000
stellar,0.222222222222,948000
iota,4.09677419355,1220000
tron,8.70909090909,671000
neo,-8.88505747126,1130000
dash,3.45402298851,1820000
monero,2.6,1250000
nem,-4.86315789474,352000
vechain,2.89130434783,284000
tether,-0.523122824465,393000
bytecoin-bcn,2.96666666667,55700
ethereum-classic,1.52631578947,435000
icon,2.88095238095,8260000
qtum,2.4126984127,327000
binance-coin,3.28488372093,187000
omisego,-0.363636363636,290000
zcash,3.775,634000
lisk,-0.42586544742,222000
zilliqa,4.65486725664,139000
aeternity,2.19791666667,60200
bitcoin-gold,102.0,413000
ontology,3.77876106195,183000
verge,2.41346153846,638000
nano,1.91071428571,517000
0x,2.46808510638,184000
steem,1.83146067416,468000
wanchain,0.914728682171,53100
siacoin,1.97802197802,211000
decred,1.8951048951,87500
populous,2.51948051948,229000
bytom,2.15315315315,65800
bitshares,2.28409090909,261000
bitcoin-diamond,1.83739837398,66400
waves,1.73076923077,662000
stratis,1.8097826087,103000
maker,5.06578947368,1320000
augur,1.83240223464,222000
rchain,3.03076923077,52800
dogecoin,2.10344827586,605000
bitcoin-private,2.56862745098,67600
golem-network-tokens,1.12612612613,611
iostoken,2.16470588235,51900
status,2.6,3170000
hshare,1.95145631068,59600
digibyte,2.36046511628,109000
digixdao,2.25531914894,59200
loopring,2.12244897959,58900
aion,2.50862068966,73900
waltonchain,2.64,30300
basic-attention-token,1.71962616822,60000
nebulas-token,0.551505546751,2140
ark,1.62288135593,318000
mixin,1.54411764706,40300
aelf,2.43181818182,55600
ardor,1.70149253731,73100
komodo,1.87412587413,141000
dentacoin,2.27884615385,66300
loom-network,1.78205128205,46000
waykichain,1.33928571429,32200
pivx,1.64814814815,87100
kucoin-shares,1.55913978495,49900
mithril,1.94736842105,46500
kyber-network,2.07920792079,61300
polymath-network,0.860635696822,16300
fusion,2.33333333333,437000
cryptonex,2.09090909091,48600
elastos,1.8961038961,44400
gas,2.64516129032,1970
bancor,2.36690647482,92600
cortex,2.33333333333,92800
monacoin,1.86324786325,67400
ethos,2.06578947368,212000
reddcoin,1.79411764706,77500
substratum,1.69444444444,58300
funfair,1.82242990654,61700
gxchain,2.05660377358,26300
skycoin,1.88888888889,49100
qash,1.86086956522,63400
huobi-token,1.75714285714,41000
centrality,1.75342465753,44300
power-ledger,1.72566371681,61000
syscoin,2.20353982301,70900
dragonchain,1.98076923077,60500
enigma-project,1.18032786885,831
wax,2.45205479452,235000
cybermiles,1.74725274725,41700
kin,2.42931937173,310000
matrix-ai-network,2.06451612903,40300
storm,5.29166666667,909000
nuls,2.08256880734,66500
veritaseum,2.02083333333,59100
salt,2.25961538462,632000
zcoin,1.19277108434,86200
chainlink,1.70408163265,55800
