toolkit,so_tag_counts,so_question_count
bitcoin,1266.0,2917
ethereum,1355.0,1737
litecoin,13.0,188
stellar,3.0,602
omisego,1.0,11
dogecoin,19.0,69
komodo,212.0,614
gxchain,,0
tron,,0
rchain,,1
zcash,,13
siacoin,,2
wanchain,,1
basic attention token,,9
dragonchain,,0
matrix ai network,,11
digixdao,,0
bitcoin private,,186
dentacoin,,0
hshare,,2
qash,,2
ardor,,12
fusion,,0
vechain,,2
kucoin shares,,0
power ledger,,9
huobi token,,1
pivx,,16
bitcoin gold,,19
lisk,,28
iostoken,,6
zcoin,,3
augur,,12
nebulas token,,0
status,,14
digibyte,,7
loom network,,5
veritaseum,,0
aelf,,2
tether,,1
ark,,0
neo,,1599
nem,,375
nano,,2
aeternity,,0
ethos,,92
ethereum classic,,13
chainlink,,24
ontology,,0
substratum,,7
zilliqa,,1
0x,,0
aion,,32
maker,,2
waltonchain,,0
bytom,,4
verge,,2
nuls,,1210
bitcoin cash,,46
centrality,,0
bytecoin bcn,,2
enigma project,,31
storm,,0
wax,,0
kyber network,,0
iota,,1
cybermiles,,0
waykichain,,0
gas,,0
steem,,32
syscoin,,1
bitshares,,12
stratis,,3
golem network tokens,,2
cardano,,34
mithril,,192
bitcoin diamond,,2
monacoin,,0
dash,,4
ripple,,9
cryptonex,,0
reddcoin,,3
populous,,233
funfair,,5
monero,,49
binance coin,,16
elastos,,1
decred,,10
kin,,0
mixin,,0
waves,,1
icon,,9
loopring,,4
qtum,,15
eos,,1
polymath network,,0
cortex,,0
skycoin,,0
salt,,0
bancor,,2
