toolkit,full_name,forks,stars,so_tag_counts,so_question_count,search_term,search_results
caffe,BVLC/caffe,12294,20034,2179.0,2623,'caffe' + 'deep learning',49600
caffe2,caffe2/caffe2,1223,5578,24.0,31,'caffe2' + 'deep learning',3810
chainer,chainer/chainer,764,2898,47.0,938,'chainer' + 'deep learning',7630
cntk,Microsoft/CNTK,3159,12285,295.0,310,'cntk' + 'deep learning',8670
deeplearning4j,deeplearning4j/deeplearning4j,3538,7132,138.0,197,'deeplearning4j' + 'deep learning',9580
dlib,davisking/dlib,928,2678,413.0,614,'dlib' + 'deep learning',2710
dynet,clab/dynet,431,1692,,2,'dynet' + 'deep learning',875
keras,fchollet/keras,7002,19317,4023.0,4443,'keras' + 'deep learning',35500
lasagne,Lasagne/Lasagne,902,3218,225.0,351,'lasagne' + 'deep learning',3790
matconvnet,vlfeat/matconvnet,573,825,58.0,99,'matconvnet' + 'deep learning',3190
mxnet,apache/incubator-mxnet,4144,11026,200.0,231,'mxnet' + 'deep learning',20500
opennn,Artelnics/OpenNN,135,363,1.0,13,'opennn' + 'deep learning',642
pytorch,pytorch/pytorch,1417,7126,214.0,238,'pytorch' + 'deep learning',8530
sonnet,deepmind/sonnet,645,5267,1.0,46,'sonnet' + 'deep learning',2380
tensorflow,tensorflow/tensorflow,34019,69121,16191.0,17340,'tensorflow' + 'deep learning',111000
tflearn,tflearn/tflearn,1393,6609,240.0,366,'tflearn' + 'deep learning',2300
theano,Theano/Theano,2281,6872,2316.0,2920,'theano' + 'deep learning',32300
