Package,Rank,Overall,Github,Stack Overflow,Downloads
d3,1,12.1002532986,5.7244267011,3.60872705503,2.76709954247
chart.js,2,3.70909890681,2.42014854129,0.191252368288,1.09769799723
plottable,3,2.99503137288,-0.314800260107,2.09113400919,1.2186976238
highcharts,4,2.91299462999,0.209797944675,1.93571876871,0.767477916602
plotly.js,5,2.0537166705,-0.0152672095212,2.30621818582,-0.2372343058
leaflet,6,1.93863342344,1.00775985356,0.468367145016,0.462506424873
echarts,7,1.60380310011,1.5450912746,-0.300846778343,0.359558603851
graphael,8,0.732295070388,-0.445798355046,-0.291539335002,1.46963276044
flotr2,9,0.565902903523,-0.24112773369,-0.310855913337,1.11788655055
flot,10,0.0229240542408,0.051887559451,-0.0280713304067,-0.000892174803503
nvd3,11,-0.0294086819377,0.200003699749,-0.0689983246887,-0.160414056998
chartist,12,-0.0865341495395,0.321690899652,-0.296128185257,-0.112096863934
anychart,13,-0.112848591735,-0.438558406301,-0.303117178983,0.628826993549
taucharts,14,-0.204569230325,-0.368543857098,-0.315100150828,0.479074777601
jqplot,15,-0.261884753369,-0.427762630155,-0.0858345456666,0.251712422452
deck.gl,16,-0.271989242867,-0.227042411827,-0.314386725382,0.269439894343
c3,17,-0.28272916916,-0.446167682779,0.229862986278,-0.06642447266
morris.js,18,-0.347024381784,0.0589781444391,-0.239253913724,-0.166748612498
sigma,19,-0.352505925221,0.100502928321,-0.295113648972,-0.15789520457
chartkick,20,-0.358291402003,-0.166811255523,-0.284599900834,0.093119754354
dc,21,-0.483424624493,0.0931506534683,-0.136310357281,-0.440264920681
ember-charts,22,-0.507586675203,-0.389221108125,-0.312402680626,0.194037113547
jquery-sparkline,23,-0.565786271734,-0.353196086303,-0.292505456146,0.0799152707142
fusioncharts,24,-0.568875290454,-0.446713304383,-0.232906447409,0.110744461337
cesium,25,-0.606267403613,-0.137752040926,-0.260023419614,-0.208491943073
dygraphs,26,-0.649647278727,-0.257794695585,-0.214030183011,-0.177822400131
victory,27,-0.660101670316,-0.206558856562,-0.314522525845,-0.139020287908
metrics-graphics,28,-0.693480960066,-0.0608141963711,-0.309735849445,-0.322930914249
cytoscape,29,-0.745145320218,-0.202474919699,-0.22354944451,-0.319120956009
rickshaw,30,-0.792090270252,0.00144658024204,-0.288921681907,-0.504615168586
xcharts,31,-0.796090488426,-0.329913009156,-0.313843523529,-0.152333955741
amcharts,32,-0.804545706337,-0.43599364417,-0.155500183334,-0.213051878834
zingchart,33,-0.825946958694,-0.435389432605,-0.28872043782,-0.101837088268
jsxgraph,34,-0.940065919085,-0.416308892467,-0.310855913337,-0.212901113282
smoothie,35,-1.00605703998,-0.343398573361,-0.313497781655,-0.349160684962
uvcharts,36,-1.01311329565,-0.422965423636,-0.315065727699,-0.275082144318
dojo charting,37,-1.08521951342,-0.446889598254,-0.280590582922,-0.357739332244
cubism,38,-1.11271656344,-0.141320968053,-0.301313947196,-0.670081648187
pizza pie charts,39,-1.13609960076,-0.415902292751,-0.315201528162,-0.404995779851
ejscharts,40,-1.2297485504,-0.442478197462,-0.314296318897,-0.472974034037
envision,41,-1.23779955217,-0.329332335607,-0.315065727699,-0.593401488863
jenscript,42,-1.23906028067,-0.446289440689,-0.315201528162,-0.477569311823
keen-dataviz,43,-1.34839207932,-0.436329491924,-0.315201528162,-0.596861059232
n3-charts,44,-1.35783856646,-0.355446842647,-0.312820671393,-0.689571052417
webcharts,45,-1.44327019002,-0.446113146818,-0.315201528162,-0.681955515036
vizceral,46,-1.5384328038,-0.352032133091,-0.315201528162,-0.871199142545
modestmaps,47,-1.94006502884,-0.392376347854,-0.314948084827,-1.23274059616
