,module,github_repo,stars,forks,tag_count,question_count,downloads,growth_rates
0,d3-hcg,d3/d3-hcg,9.0,3.0,0,1,1021.0,-0.166516548034
1,d3-table,RajanRastogi/d3-table,4.0,1.0,0,1434,211.0,0.064440073412
2,mpld3,mpld3/mpld3,1490.0,259.0,85,127,nan,nan
3,d3-timelines,jiahuang/d3-timeline,770.0,236.0,0,136,246.0,nan
4,d3-horizon-chart,kmandov/d3-horizon-chart,38.0,7.0,0,14,2330.0,0.0844578398263
5,d3-axes,au-phiware/d3-axes,0.0,0.0,0,620,338.0,0.011565177383
6,forest-d3,robinfhu/forest-d3,48.0,1.0,0,6,nan,nan
7,d3-component,curran/d3-component,51.0,2.0,0,595,2899.0,-0.0369134536386
8,d3-resume,glena/d3-resume,24.0,6.0,0,98,nan,nan
9,d3-timeline,jiahuang/d3-timeline,770.0,236.0,0,188,3791.0,-0.118179413172
10,d3-hexbin,d3/d3-hexbin,54.0,11.0,0,22,32088.0,0.451918255724
11,d3-mesh,rwakulszowa/d3-mesh,1.0,0.0,0,61,711.0,0.0172562233277
12,d3-geo-warp,rasmuse/d3-geo-warp,1.0,0.0,0,0,150.0,0.0308533208864
13,d3-geo,d3/d3-geo,204.0,69.0,0,237,1772315.0,0.105225415595
14,d3pie,benkeen/d3pie,297.0,157.0,0,28,22990.0,0.11833398835
15,d3-shape,d3/d3-shape,1444.0,125.0,0,1358,3156835.0,0.117294240487
16,d3-scale-chromatic,d3/d3-scale-chromatic,158.0,12.0,0,6,116098.0,0.112866481067
17,react-d3-components,codesuki/react-d3-components,1256.0,163.0,0,97,121234.0,0.0304511934129
18,d3-x3dom-shape,fabid/d3-x3dom-shape,5.0,0.0,0,3,218.0,0.0
19,d3-format,d3/d3-format,176.0,27.0,0,3208,3347963.0,0.104970893287
20,d3-binarytree,vasturiano/d3-binarytree,3.0,1.0,0,0,897.0,nan
21,d3.chart,misoproject/d3.chart,754.0,94.0,0,8017,12481.0,-0.0709192958377
22,d3-components,codesuki/react-d3-components,1256.0,163.0,0,499,198.0,0.313053167313
23,d3-area-label,curran/d3-area-label,18.0,0.0,0,171,140.0,nan
24,d3-force-cluster,ericsoco/d3-force-cluster,9.0,3.0,0,82,2008.0,0.277910258568
25,d3-summary-tiles,madams1/d3-summary-tiles,1.0,0.0,0,0,590.0,nan
26,d3-annotation,susielu/d3-annotation,402.0,16.0,0,28,nan,nan
27,d3-source-sink,mtgibbs/d3-source-sink,0.0,0.0,0,2,162.0,-0.0100532286737
28,d3-axis,d3/d3-axis,51.0,51.0,0,4444,1872513.0,0.110647940128
29,d3-tube-map,johnwalley/d3-tube-map,9.0,1.0,0,0,826.0,0.0274566618491
30,d3-kit,lightningtgc/d3-kit,0.0,0.0,0,19,nan,nan
31,d3fc,d3fc/d3fc,349.0,56.0,5,6,28485.0,-0.0562633649865
32,d3-collection,d3/d3-collection,50.0,15.0,0,232,3275751.0,0.124702979824
33,d3-canvas-transition,quantmind/d3-canvas-transition,8.0,2.0,0,128,1993.0,0.0969474638549
34,d3-bar,tj/d3-bar,138.0,6.0,0,3057,1976.0,-0.0646315285192
35,d3-binaryree,NA,,,0,0,5.0,nan
36,d3-wrap,skellyb/react-d3-wrap,43.0,6.0,0,331,118.0,0.0
37,d3-view,quantmind/d3-view,4.0,1.0,0,1099,3288.0,0.348855828544
38,d3-peaks,efekarakus/d3-peaks,43.0,1.0,0,14,249.0,0.0545093860581
39,@plotly/d3-sankey,NA,,,0,9,38903.0,nan
40,d3-bboxCollide,emeeks/d3-bboxCollide,42.0,3.0,0,0,1233.0,0.348006154597
41,d3-force-3d,ggeoffrey/cljs-gravity,12.0,9.0,0,10,1159.0,nan
42,d3-scale-interactive,pbeshai/d3-scale-interactive,27.0,1.0,0,46,1262.0,-0.0693563468
43,d3-czip,smartin85/d3-czip,0.0,0.0,0,0,91.0,nan
44,d3-polygon,d3/d3-polygon,32.0,9.0,0,329,1618113.0,0.102522417845
45,d3-hierarchy,d3/d3-hierarchy,161.0,73.0,0,421,1758850.0,0.112212726883
46,d3-geo-projection,d3/d3-geo-projection,534.0,119.0,0,97,762554.0,-0.0108614253872
47,d3-brush-2,NA,,,0,132,50.0,nan
48,d3-let,quantmind/d3-let,1.0,1.0,0,1202,1774.0,0.086973190521
49,@zambezi/d3-rebind,NA,,,0,0,89.0,nan
50,d3-brush,d3/d3-brush,35.0,16.0,0,464,1638977.0,0.112263137962
51,d3-foodweb,kakearney/d3-foodweb,0.0,0.0,0,0,122.0,-0.180955775609
52,d3-icon,comsysto/d3-icon,2.0,0.0,0,298,205.0,0.0
53,d3-force-bounce,vasturiano/d3-force-bounce,5.0,0.0,0,9,632.0,nan
54,d3-beeswarm,Kcnarf/d3-beeswarm,13.0,3.0,0,5,1405.0,-0.171359252224
55,d3-ellipse-force,jpurma/d3-ellipse-force,1.0,0.0,0,5,29.0,nan
56,d3-interpolate,d3/d3-interpolate,122.0,19.0,0,1376,3550793.0,0.117976343262
57,g-chartcolour,ft-interactive/g-chartcolour,0.0,0.0,0,1,3135.0,nan
58,d3panels,kbroman/d3panels,24.0,2.0,0,0,nan,nan
59,bki-d3-timer,NA,,,0,0,71.0,nan
60,d3-sankeyseq,EE2dev/d3-sankeySeq,0.0,0.0,0,0,317.0,nan
61,d3-nelson-rules,53seven/d3-nelson-rules,15.0,3.0,0,0,546.0,0.133861012351
62,d3-hypergraph,AndreaSimeone/d3-hypergraph,3.0,1.0,0,2,139.0,-0.0282354238719
63,d3-hist2d,herkulano/d3-hist2d,1.0,0.0,0,1,795.0,0.167266233141
64,d3act,AnSavvides/d3act,290.0,28.0,0,0,6068.0,-0.00596429638756
65,d3-graphviz,magjac/d3-graphviz,8.0,0.0,0,23,0.0,nan
66,d3-dsv,d3/d3-dsv,133.0,26.0,0,26,1859264.0,0.102870724578
67,d3.svg.ribbon,emeeks/d3.svg.ribbon,19.0,1.0,0,0,nan,nan
68,d3-annotate,cmpolis/d3-annotate,19.0,1.0,0,16,362.0,0.0111772327573
69,d3-array,d3/d3-array,91.0,56.0,0,3278,3309516.0,0.121861237633
70,d3-path,d3/d3-path,78.0,14.0,0,5995,3021936.0,0.102875416218
71,d3-xyzoom,etiennecrb/d3-xyzoom,8.0,0.0,0,3,238.0,0.0210796254254
72,d3-heatmap,tj/d3-heatmap,191.0,9.0,0,140,1106.0,-0.0441419169944
73,leaflet-d3,Asymmetrik/leaflet-d3,143.0,26.0,0,216,nan,nan
74,d3-cartogram,shawnbot/topogram,249.0,118.0,0,20,nan,nan
75,d3-force-container,1wheel/d3-force-container,3.0,0.0,0,105,149.0,0.115148683629
76,d3-force-attract,ericsoco/d3-force-attract,4.0,0.0,0,5,1317.0,0.225935681549
