Package,Rank,Overall,Github,Stack Overflow,Downloads
plotly.js,1,5.4118274768,2.07842449578,3.45447597421,-0.121072993189
plottable,2,4.93557613921,0.241222979547,3.44730695929,1.24704620038
react d3 map,3,3.89749000801,-0.483355443238,-0.12916126415,4.5100067154
nvd3,4,3.87975127879,4.07141390924,-0.0526380954519,-0.139024534999
d3.chart.sankey,5,3.79805369119,-0.483942029107,4.94555526539,-0.663559545086
mermaid,6,3.59631666136,3.69137242577,-0.129153847047,0.0340980826369
c3,7,3.45085278258,2.91951659777,0.580353213265,-0.0490170284513
britecharts,8,3.21054108234,0.192518285634,-0.12916126415,3.14718406086
dc,9,2.8855979079,3.18892725286,-0.0589532319687,-0.244376112984
rickshaw,10,1.9166530323,2.32674800519,-0.120226957938,-0.289868014955
recharts,11,1.69824022323,1.57983752175,-0.128399364646,0.24680206613
insights,12,1.52438416866,-0.42936161702,-0.12916126415,2.08290704983
metrics-graphics,13,1.42453383372,1.66888044356,-0.123117987839,-0.121228621994
vega,14,1.20322991334,1.5269580775,-0.125847001306,-0.197881162855
d3-cloud,15,0.801403435182,1.13274557558,-0.12916126415,-0.202180876249
cubism,16,0.78468382108,1.34240062109,-0.129128770173,-0.428588029833
d3-legend,17,0.715124476413,-0.317995025445,-0.12916126415,1.16228076601
textures,18,0.706679479668,0.714050207075,-0.12916126415,0.121790536743
datamaps,19,0.702883293308,1.0356752118,-0.126456520909,-0.206335397583
victory,20,0.597934637227,0.746816127973,-0.128970789274,-0.0199107014712
cartodb,21,0.575746867322,0.495131011923,-0.125123196776,0.205739052176
epoch,22,0.54870975996,1.01832666616,-0.128856857544,-0.340760048652
d3 geo projection,23,0.485617559538,-0.230396935192,-0.12916126415,0.84517575888
dimple,24,0.481777378323,0.803726992858,-0.116800832406,-0.205148782129
d3 cartogram,25,0.421365875229,-0.294648619501,-0.12916126415,0.84517575888
taucharts,26,0.376748705148,-0.0878253652088,-0.129010297031,0.593584367388
react-vis,27,0.260861083607,0.20756047647,-0.129046979225,0.182347586361
d3 geomap,28,0.238190265154,-0.477824229576,-0.12916126415,0.84517575888
d3 timeseries,29,0.233807941664,-0.482206553066,-0.12916126415,0.84517575888
d3 exploder,30,0.214640114349,-0.501374380381,-0.12916126415,0.84517575888
d3 simplecharts,31,0.185597453526,-0.530417041205,-0.12916126415,0.84517575888
vx,32,0.0850059624385,0.128693259296,-0.12916126415,0.0854739672932
ember-charts,33,0.0519617249911,-0.163988046615,-0.125649865845,0.341599637452
angular-nvd3,34,-0.023215691333,0.289030540556,-0.119751805269,-0.19249442662
d3-tip,35,-0.0308008691154,0.121624466837,-0.12916126415,-0.023264071802
techan,36,-0.0629493410877,0.0906767261632,-0.128708362792,-0.0249177044584
d3plus,37,-0.0891916597014,0.0232889183731,-0.127294610364,0.0148140322896
react-stockcharts,38,-0.11145323474,0.0200843292139,-0.12916126415,-0.00237629980333
react-d3,39,-0.164671482253,0.115768834784,-0.128056509869,-0.152383807168
d3pie,40,-0.238778090782,-0.224764032674,-0.128137644555,0.114123586446
react-d3-components,41,-0.272090040148,0.00478033804881,-0.12916126415,-0.147709114047
jetpack,42,-0.31438633878,-0.390962793604,-0.12916126415,0.205737718974
d3-extended,43,-0.317041176712,-0.442658839478,-0.12916126415,0.254778926917
dagre-d3,44,-0.354148069762,0.0867840458539,-0.12793551423,-0.312996601386
radar-chart-d3,45,-0.376539866341,-0.268655182532,-0.12916126415,0.0212765803421
peek,46,-0.3984732989,-0.512092670344,-0.12916126415,0.242780635595
d3kit,47,-0.41492289546,-0.403668684025,-0.12916126415,0.117907052716
eventDrops,48,-0.452294883303,-0.128580391586,-0.12916126415,-0.194553227567
d3-composite-projections,49,-0.487650501212,-0.512267203897,-0.12916126415,0.153777966836
gantt-chart,50,-0.48935282396,-0.265358764003,-0.113161374555,-0.110832685402
d3-nelson-rules,51,-0.495566028347,-0.526359503254,-0.12916126415,0.159954739057
uvcharts,52,-0.567944254322,-0.364586515628,-0.129123169175,-0.0742345695197
d3-flame-graph,53,-0.574852772948,-0.437811154372,-0.12916126415,-0.00788035442563
d3-horizon-chart,54,-0.636046187018,-0.515141894199,-0.12916126415,0.00825697133043
d3-bumps-chart,55,-0.649029958433,-0.532651836338,-0.12916126415,0.0127831420554
d3scription,56,-0.658979232506,-0.52763929359,-0.12916126415,-0.00217867476568
d3moji,57,-0.672987557936,-0.507220703673,-0.12916126415,-0.0366055901128
koto,58,-0.675717892715,-0.45229122448,-0.128897071692,-0.0945295965441
billboard,59,-0.704980254839,-0.52238923208,-0.12916126415,-0.0534297586087
d3-peaks,60,-0.736213496596,-0.523082436547,-0.12916126415,-0.0839697958986
d3-timeline,61,-0.736738801961,0.00687911970001,-0.12916126415,-0.614456657511
d3-iconarray,62,-0.74451577079,-0.51482678457,-0.12916126415,-0.10052772207
mapmap,63,-0.747730790072,-0.494073733201,-0.12916126415,-0.124495792721
d3-force-gravity,64,-0.760255040292,-0.53055761728,-0.12916126415,-0.100536158861
kodama,65,-0.763425811953,-0.480597047447,-0.12916126415,-0.153667500356
chroniton,66,-0.770556118219,-0.500104265956,-0.12916126415,-0.141290588112
d3-history,67,-0.800595990826,-0.52444949366,-0.12916126415,-0.146985233016
d3kit-timeline,68,-0.804341594827,-0.450405496452,-0.12916126415,-0.224774834225
colajs,69,-0.809086615107,-0.534430945767,-0.127689334737,-0.146966334603
