toolkit,full_name,forks,stars,so_tag_counts,so_question_count,growth_rate,search_results
4store,4store/4store,54,236,19.0,30.0,0.289473684211,677
accumulo,apache/accumulo,201,368,235.0,422.0,0.835365853659,23200
actordb,biokoda/actordb,50,1010,,2.0,-0.555555555556,610
aerospike,,0,0,522.0,583.0,3.77551020408,9460
agensgraph,bitnine-oss/agensgraph,46,542,,14.0,1.51515151515,443
alasql,agershun/alasql,327,2433,184.0,237.0,2.34545454545,1050
altibase,ALTIBASE/altibase,30,54,,2.0,0.648648648649,3160
amazon aurora,claranet/terraform-aws-aurora,10,11,,114.0,0.409703504043,26900
apache drill,apache/drill,662,951,436.0,499.0,1.97222222222,6310
apache phoenix,apache/phoenix,582,459,,283.0,0.502024291498,3030
arangodb,arangodb/arangodb,418,5600,1144.0,1185.0,1.05660377358,6560
badger,dgraph-io/badger,197,3663,,281.0,1.55421686747,227000
bangdb,sachin-sinha/BangDB,2,18,,3.0,-0.615384615385,119
basex,BaseXdb/basex,218,346,293.0,492.0,0.477419354839,2150
bergdb,bergdb/bergdb,0,0,,0.0,2.0,25
bigchaindb,bigchaindb/bigchaindb,472,2478,19.0,31.0,1.04885993485,2370
blazegraph,alexiejmarckut/blazegraph,0,80,66.0,78.0,0.438202247191,841
blueflood,rackerlabs/blueflood,89,559,,2.0,-0.75,246
boltdb,boltdb/bolt,723,8465,19.0,44.0,0.575757575758,1040
brightstardb,BrightstarDB/BrightstarDB,81,339,5.0,6.0,-0.565217391304,220
cachelot.io,cachelot/cachelot.github.io,1,0,,0.0,,6
cassandra,apache/cassandra,2007,4373,14271.0,17907.0,0.959459459459,720000
citus,citusdata/citus,190,2690,37.0,45.0,1.59591836735,3250
clickhouse,yandex/ClickHouse,598,3986,96.0,101.0,0.896551724138,4320
cloudkit,jcrosby/cloudkit,23,310,1515.0,1766.0,0.903669724771,3570
cockroachdb,cockroachdb/cockroach,1374,13342,107.0,112.0,1.71052631579,3820
codernitydb,perchouli/codernitydb,10,36,,5.0,15.0,91
comdb2,bloomberg/comdb2,91,731,,2.0,1.37931034483,308
couchbase,,0,0,2717.0,3405.0,1.32608695652,55300
couchdb,apache/couchdb,770,3614,5280.0,6856.0,1.86220472441,42400
cratedb,crate/crate,263,1999,51.0,65.0,0.752941176471,842
csql,,0,0,,97.0,1.21052631579,974
cubicweb,,0,0,,4.0,1.57142857143,259
cubrid,CUBRID/cubrid,52,89,11.0,28.0,2.89285714286,4470
database management library,,0,0,,768.0,6.30357142857,944
dataease,,0,0,,3.0,0.520833333333,766
dataphor,DBCG/Dataphor,7,28,,1.0,,133
db4o,,0,0,382.0,522.0,1.48372093023,2590
dbase,,0,0,241.0,1761.0,1.7805907173,39700
densodb,teamdev/DensoDB,17,54,,1.0,5.0,49
