Library,Rank,Overall,Github,Stack Overflow,Google Results
mysql,1,17.4160020478,-0.401422723925,13.2026749507,4.614749821
elasticsearch,2,8.56971574987,7.38816937416,0.743800826901,0.437745548811
redis,3,7.88301167744,7.38880756348,0.344561444283,0.149642669679
mongodb,4,5.78400000047,2.58905614653,2.40144661569,0.79349723825
hive,5,4.43237945438,0.592164699243,0.285313013926,3.55490174121
postgresql,6,4.06394903115,0.582326577918,2.03241543442,1.4492070188
codernitydb,7,2.58137754458,-0.393287030111,-0.136384894276,3.11104946897
rethinkdb,8,2.34872507838,2.70398797754,-0.100619358084,-0.254643541072
prometheus,9,2.32141469835,2.27457937571,-0.116167393516,0.163002716148
leveldb,10,2.17918935505,2.50898585374,-0.124884398151,-0.204912100536
monetdb,11,1.84212940794,-0.371686223562,-0.127284993583,2.34110062508
sqlite,12,1.78802458206,-0.401422723925,1.43509192965,0.754355376339
cassandra,13,1.69249435103,0.904459402508,0.278225845112,0.50980910341
influxdb,14,1.61113085031,1.89226495793,-0.106758054373,-0.174376053245
tidb,15,1.60627958345,1.81608147589,-0.135830502608,-0.0739713898322
memcached,16,1.5155181843,1.41835994882,0.0394118721258,0.0577463633536
cockroachdb,17,1.495846774,1.6788208202,-0.133626312235,-0.0493477339567
rocksdb,18,1.35764693876,1.72123297932,-0.131979168837,-0.23160687172
prestodb,19,1.34496110753,1.46026363357,-0.127052380446,0.0117498544089
druid,20,1.28457106942,0.973199485537,-0.129223112577,0.440594696458
pouchdb,21,1.19607864055,1.22750085854,-0.1030195947,0.0715973767165
solr,22,1.04021246532,0.316497034498,0.340509060138,0.383206370688
zookeeper,23,1.03197064792,1.28674106671,-0.0691880012331,-0.185582417558
neo4j,24,0.963640387458,0.711457260421,0.285041605766,-0.0328584787299
foundationdb,25,0.904963302084,0.656423739661,-0.135921028036,0.384460590459
hbase,26,0.764777148573,0.433932769343,0.0430055083185,0.287838870911
h2,27,0.708228167258,-0.401422723925,0.526590620858,0.583060270325
sedna,28,0.524170007199,-0.400162405578,-0.135676463401,1.06000887618
database management library,29,0.513301467765,-0.401422723925,-0.126574096459,1.04129828815
fleetdb,30,0.456196227641,-0.375578675815,-0.136320409042,0.968095312499
dgraph,31,0.444865361063,0.370967196487,-0.135393648017,0.209291812593
sequoiadb,32,0.423306535778,-0.184815214096,-0.13643632703,0.744558076904
boltdb,33,0.40073993602,0.858780014763,-0.135637888835,-0.322402189907
geode,34,0.372708988689,-0.084948128832,-0.130947987978,0.588605105499
couchdb,35,0.368006853797,0.321545321741,0.0199397420166,0.0265217900394
sphinx,36,0.353717109627,0.123459162909,-0.0251184522323,0.25537639895
elliptics,37,0.350073120326,-0.315417886809,-0.124195331588,0.789686338723
ignite,38,0.333246813887,0.162158810518,-0.0683740950082,0.239462098377
mapd,39,0.301455657488,-0.159782948584,-0.136037723186,0.597276329259
lovefield,40,0.270476808423,0.403010114784,-0.136139941058,0.00360663469666
derby,41,0.269507829313,0.195669529006,-0.0559146555896,0.129752955896
tomp2p,42,0.266331041282,-0.327344564997,-0.13634631971,0.730021925989
teradata,43,0.265835259527,-0.401422723925,-0.0501234944401,0.717381477892
orientdb,44,0.218956879871,0.287683972197,-0.0727118239147,0.00398473158821
sisodb,45,0.21690197827,-0.376727496949,-0.136371841796,0.730001317015
densodb,46,0.205140386467,-0.388417390377,-0.13643632703,0.729994103874
graph engine,47,0.200740841959,-0.160637355851,-0.122832363608,0.484210561418
jasdb,48,0.198553029259,-0.395063503084,-0.136410545889,0.730027078233
sql.js,49,0.149755886143,0.28363246252,-0.134467405101,0.00059082872396
badger,50,0.108022922848,0.0974486145014,-0.132836034253,0.143410342599
ravendb,51,0.100725007764,0.0889870860262,-0.0750474457702,0.0867853675084
arangodb,52,0.0994352781449,0.408087704944,-0.106428374685,-0.202224052114
scylladb,53,0.0911063392743,0.25073576379,-0.136217737825,-0.0234116866901
opentsdb,54,0.072505858412,0.320175973951,-0.130095850304,-0.117574265235
event store,55,0.0656149615022,0.0528387899454,0.208725352532,-0.195949180975
mariadb,56,0.0485240213548,-0.401422723925,0.026848938862,0.423097806418
jena,57,0.0142349552869,-0.218005073027,-0.0834708492688,0.315710877583
lokijs,58,0.0121837472427,0.201260139626,-0.133884706513,-0.0551916858698
timescaledb,59,-0.00496758648726,0.21998830607,-0.13584342556,-0.0891124669972
alasql,60,-0.0234803185793,0.00856855082154,-0.131023971364,0.0989751019636
stsdb,61,-0.0287275089433,-0.38486820543,-0.136384894276,0.492525590762
heroic,62,-0.030116146688,-0.301028827867,-0.134636180641,0.40554886182
hazelcast,63,-0.0416690490145,0.295794553114,-0.0908786204024,-0.246584981726
swaydb,64,-0.0432717664534,-0.398672197638,-0.136449185218,0.491849616403
impala,65,-0.0434849918143,-0.347631811926,-0.106233264897,0.410380085009
