Package,Rank,Overall,Github,Stack Overflow,Search Results
apache spark,1,20.1132441586,8.88035515286,6.76704408582,4.46584491996
apache hadoop,2,13.3311935954,2.02512480043,8.20095559818,3.10511319678
apache kafka,3,5.38996852472,2.83867619146,1.17681887825,1.37447345501
apache storm,4,2.86316118057,2.18009894233,0.240675335313,0.442386902919
presto,5,2.48101985912,2.31167194037,-0.170952382866,0.340300301611
stratio crossdata,6,2.02959453622,-0.322400786562,-0.229944811906,2.58194013468
apache couchdb,7,1.89437207214,0.82172615956,1.00733512741,0.0653107851677
apache flink,8,1.84850278504,1.1144336779,0.0446109592536,0.689458147881
twitter heron,9,1.52011549371,0.655072334595,-0.2292301561,1.09427331522
hazelcast,10,1.39983516464,0.612040848008,0.106826860689,0.680967455942
apache bookkeeper,11,1.16665323616,-0.283629698969,-0.228107125548,1.67839006068
google bigquery,12,1.12217026728,-0.382389699899,0.991182995794,0.513376971387
apache ignite,13,0.954106116761,0.22357590317,0.234164839546,0.496365374045
apache zeppelin,14,0.935311491638,1.12932760006,-0.0818106899499,-0.112205418477
metamarkets druid,15,0.911877029415,1.70469799467,-0.181754017543,-0.611066947715
concurrent cascading,16,0.90778868683,-0.211572482814,1.27450496922,-0.155143799578
apache pig,17,0.891064309286,-0.0802065859633,0.853656005153,0.117614890095
apache vxquery,18,0.869986757798,-0.368948686412,-0.22984271822,1.46877816243
apache flume,19,0.84494829056,0.283143182018,0.0497848237816,0.512020284761
apache spark streaming,20,0.825470550142,-0.234626431455,0.654440690122,0.405656291475
drools,21,0.768586942947,0.382940818881,0.379969185887,0.00567693817897
ceph,22,0.670311081306,1.46506024325,-0.183615038339,-0.611134123604
hparser,23,0.575194702751,-0.373507060035,-0.229025968727,1.17772773151
apache drill,24,0.51954481257,0.0826995977299,-0.135983596509,0.572828811348
spring for apache hadoop,25,0.489431254315,-0.123299538531,-0.226575720249,0.839306513095
apache parquet,26,0.384493130843,-0.110443673973,0.0684253709249,0.426511433891
apache datafu,27,0.358410639139,-0.152883285937,-0.228351800158,0.739645725234
pubnub,28,0.169477414588,-0.268757388205,-0.0194253707782,0.457660173572
apache ambari,29,0.158406738556,0.0837311109703,-0.0902654569857,0.164941084572
apache samza,30,0.128778003067,-0.21664781369,-0.214839376743,0.560265193501
apache avro,31,0.106444382925,0.057303733215,0.151188835212,-0.102048185502
apache beam,32,0.1050518704,0.330863780991,-0.146604842287,-0.0792070683039
twitter summingbird,33,0.0486265610177,0.260955433911,-0.229944811906,0.0176159390125
nokia disco,34,0.043824141511,0.140822855811,-0.112851286231,0.0158525719314
facebook scuba,35,-0.00819565540931,-0.382389699899,-0.229740624533,0.603934669023
google flumejava,36,-0.0826685908539,-0.382389699899,-0.22984271822,0.529563827265
twitter scalding,37,-0.117764678657,0.694132394753,-0.186697216961,-0.625199856449
torch,38,-0.132867038372,-0.112781026366,0.050441944513,-0.0705279565197
high-performance computing cluster (hpcc),39,-0.157900232795,-0.224641685409,-0.22601332938,0.292754781993
blaze,40,-0.16067653485,0.346143921644,-0.00916330075907,-0.497657155735
addthis hydra,41,-0.166919232874,-0.238660644025,-0.229944811906,0.301686223058
apache oozie,42,-0.188149648731,-0.174376518699,0.149562236014,-0.163335366046
apache orc,43,-0.204279569034,-0.314662872677,-0.103072803645,0.213456107288
apache airavata,44,-0.255932308086,-0.348318410864,-0.2292301561,0.321616258878
kite,45,-0.26163650748,-0.217965659176,-0.195196437647,0.151525589343
sumo logic,46,-0.261903066037,-0.382389699899,-0.224853778003,0.345340411864
esper,47,-0.267957644561,-0.25247586967,0.152423599275,-0.167905374166
cascalog,48,-0.275357498174,0.0663773825588,-0.223418748791,-0.118316131943
sqlstream blaze,49,-0.277412989846,-0.382389699899,-0.229944811906,0.334921521959
apache phoenix,50,-0.286799046101,-0.090536250863,-0.221164754861,0.0249019596226
disco,51,-0.311551883951,0.140822855811,-0.112851286231,-0.33952345353
onyx,52,-0.351265517414,0.133473800736,-0.212282604129,-0.27245671402
google dataflow,53,-0.353258652801,-0.0269669321213,-0.161746229275,-0.164545491405
netflix pigpen,54,-0.38075424261,-0.223610411221,-0.229944811906,0.0728009805178
geotrellis,55,-0.415994616916,-0.131537361751,-0.228030117486,-0.0564271376787
datatorrent stram,56,-0.425652178233,-0.382389699899,-0.22984271822,0.186580239886
amazon lambda,57,-0.433870484222,-0.382389699899,-0.113180078615,0.061699294292
apache sqoop,58,-0.451104878449,-0.174336300169,-0.159334821809,-0.117433756471
pachyderm,59,-0.470531507984,0.324540719465,-0.229332249787,-0.565739977662
facebook peregrine,60,-0.471064450792,-0.382389699899,-0.229944811906,0.141270061013
cheetah,61,-0.47872026891,-0.292761092867,-0.183022667357,-0.00293650868571
gearpump,62,-0.497031722424,-0.144543175205,-0.229740624533,-0.122747922686
arvados,63,-0.524192090664,-0.322873803859,-0.229944811906,0.0286265251015
streamdrill,64,-0.536254308519,-0.379799029991,-0.229944811906,0.073489533378
datatorrent rts,65,-0.544384340713,-0.382389699899,-0.229740624533,0.0677459837192
apache crunch,66,-0.564073027713,-0.259821203319,-0.217664981518,-0.0865868428766
apache s4,67,-0.592541767962,-0.365475371052,-0.225861064443,-0.00120533246614
nextflow,68,-0.602335417117,-0.242858131982,-0.22953643716,-0.129940847975
netflix lipstick,69,-0.606762191601,-0.221708497914,-0.22984271822,-0.155210975467
apache edgent,70,-0.607160896131,-0.323885628862,-0.228862268591,-0.0544129986782
amazon spice,71,-0.632487748202,-0.382389699899,-0.229638530847,-0.020459517457
ibm streams,72,-0.634169453146,-0.364122109569,-0.20888667566,-0.0611606679173
apache giraph,73,-0.635513959125,-0.1731428317,-0.195526981219,-0.266844146206
apache calcite,74,-0.636560638802,-0.0791825155753,-0.215438288438,-0.341939834789
apache gora,75,-0.642973861684,-0.338625038649,-0.212600784426,-0.0917480386088
apache gearpump,76,-0.643258734397,-0.291084762983,-0.22984271822,-0.122331253195
apache lens,77,-0.646177608079,-0.340295245841,-0.228209219235,-0.0776731430038
jaql,78,-0.648862869384,-0.381806952237,-0.228005031861,-0.0390508852855
snap,79,-0.668767493111,-0.0490966966206,-0.228515500294,-0.391155296196
tuktu,80,-0.69880001754,-0.362734752249,-0.229944811906,-0.106120453384
microsoft azure stream analytics,81,-0.705278685254,-0.382389699899,-0.154929855712,-0.167959129643
microsoft orleans,82,-0.744660276928,-0.339551624058,-0.226984094996,-0.178124557874
datasalt pangool,83,-0.745676410262,-0.360285507277,-0.229944811906,-0.155446091078
twitter gizzard,84,-0.748226768801,0.320925979169,-0.22953643716,-0.83961631081
ampcrowd,85,-0.749941637628,-0.364451300664,-0.22984271822,-0.155647618744
microsoft project orleans,86,-0.766953708685,-0.382389699899,-0.229638530847,-0.154925477939
twitter tsar,87,-0.767376217697,-0.382389699899,-0.22984271822,-0.155143799578
amplab simr,88,-0.768015718494,-0.382389699899,-0.229944811906,-0.155681206689
pinterest pinlater,89,-0.76806610041,-0.382389699899,-0.229944811906,-0.155731588605
apache helix,90,-0.770575761589,-0.324324550321,-0.228515500294,-0.217735710974
apache apex,91,-0.779294935607,-0.247328625692,-0.216985095349,-0.314981214566
gis tools for hadoop,92,-0.784837844333,-0.226681302226,-0.229332249787,-0.328824292321
