Library,Rank,Overall,Github,Stack Overflow,Google Results
tensorflow,1,11.6796334359,5.64407721768,3.01584808625,3.01970813196
opencv,2,7.87022617728,1.17568702185,5.16898300431,1.52555615112
keras,3,2.19953686527,0.993669178611,0.713430061255,0.492437625403
caffe,4,1.27712621349,1.01615005669,0.0266474306493,0.234328726145
shogun,5,0.94531433802,-0.326100936193,-0.286416805112,1.55783207933
apache singa,6,0.6485285457,-0.373698430949,-0.294176706444,1.31640368309
nltk,7,0.327534231199,-0.148407306893,0.309641113983,0.166300424109
deeplearning4j,8,0.270090502077,0.044525408024,-0.267276571671,0.492841665724
pytorch,9,0.179209236227,0.208317862674,-0.188938260391,0.159829633944
torch,10,0.00980493877622,-0.0818632288673,-0.1192015088,0.210869676443
theano,11,-0.0283107682136,-0.0637204726846,0.0218046305248,0.0136050739462
mlpy,12,-0.141673199854,-0.432021198961,-0.292128661896,0.582476661003
sonnet,13,-0.15235586509,-0.195533008074,-0.291353726121,0.334530869105
cntk,14,-0.300393753933,0.192844797019,-0.239833289636,-0.253405261316
pyevolve,15,-0.332690427343,-0.41948665076,-0.290484504173,0.37728072759
apache mxnet,16,-0.526620189513,0.240754135415,-0.29351247578,-0.473861849148
caffe2,17,-0.554892221758,-0.0967373969641,-0.285472791349,-0.172682033446
paddlepaddle,18,-0.613969014924,-0.130087083628,-0.293733886001,-0.190148045295
tflearn,19,-0.642884273792,-0.0919158172261,-0.241155875608,-0.309812580958
dlib,20,-0.691026181413,-0.211654792345,-0.214806301162,-0.264565087906
lasagne,21,-0.705096695099,-0.282928398297,-0.262383087216,-0.159785209587
hebel,22,-0.790443177578,-0.389989774848,-0.294066001333,-0.106387401397
chainer,23,-0.832868017979,-0.268401312844,-0.231925893345,-0.33254081179
bigdl,24,-0.846285434211,-0.330599867223,-0.293678533446,-0.222007033542
nervana neon,25,-0.952793109784,-0.287505266739,-0.29353790059,-0.371749942455
nvidia digits,26,-0.965582720796,-0.281305713444,-0.282929539028,-0.401347468324
dynet,27,-0.966540897113,-0.337007621321,-0.293543886139,-0.335989389653
intel math kernel library,28,-0.969158219385,-0.399282374545,-0.290135969903,-0.279739874937
opennn,29,-0.970960677358,-0.409407291922,-0.292867684376,-0.26868570106
libpgm,30,-0.989094567024,-0.428594791624,-0.293457123225,-0.267042652176
pymc,31,-1.01097865933,-0.402331900251,-0.242144698346,-0.366502060736
matlab + neural network toolbox,32,-1.02815803175,-0.428251709703,-0.286648758915,-0.313257563133
pybrain,33,-1.04590047287,-0.317464439554,-0.254325391041,-0.474110642275
nupic,34,-1.07691938982,-0.189121664397,-0.290049151892,-0.597748573534
pgmpy,35,-1.08087923124,-0.395301711909,-0.293083109048,-0.392494410282
pattern,36,-1.15149500317,-0.181984319177,-0.293346418114,-0.676164265879
nolearn,37,-1.25260162537,-0.392484334835,-0.28726505009,-0.57285224044
pynlpl,38,-1.51636269779,-0.420064909822,-0.294121353889,-0.80217643408
deeppy,39,-1.57684239197,-0.379420600728,-0.294176706444,-0.903245084793
intel data analytics acceleration library,40,-1.69322756845,-0.423351351237,-0.294176706444,-0.975699510766
