Library,Rank,Overall,Github,Stack Overflow,Google Results
tensorflow,1,10.8273968087,4.25241684097,4.37142153653,2.20355843116
keras,2,1.77284664656,0.613622948161,0.829711833886,0.329511864511
caffe,3,1.55193337214,1.00296628355,0.303748947916,0.245218140666
sonnet,4,0.754965878308,-0.326033738172,-0.361793938456,1.44279355494
theano,5,0.436871383137,-0.156027576121,0.36339496396,0.229503995299
caffe2,6,0.202879831967,-0.273962864041,-0.360077888823,0.836920584831
mxnet,7,-0.0436571542717,0.120992750185,-0.307178087444,0.142528182987
torch,8,-0.188906116817,-0.153075086611,-0.00683918912773,-0.0289918410787
pytorch,9,-0.268554784212,-0.199580640545,-0.303232987964,0.234258844296
cntk,10,-0.346635407251,0.0970184054883,-0.282204750443,-0.161449062296
dlib,11,-0.690310164497,-0.395795730933,-0.223657743747,-0.0708566898162
paddlepaddle,12,-0.71122565878,-0.267204848163,-0.367071310624,-0.0769494999932
deeplearning4j,13,-0.735458574189,-0.0580772586111,-0.321299252977,-0.356082062601
chainer,14,-0.819664182787,-0.40069858237,-0.234366455381,-0.184599145035
dynet,15,-0.97581495554,-0.465661290035,-0.367881737969,-0.142271927536
bigdl,16,-1.09416556708,-0.458713322334,-0.367746666745,-0.267705578004
tflearn,17,-1.14319169113,-0.226266761838,-0.28302177504,-0.633903154256
lasagne,18,-1.18376639402,-0.380774917892,-0.287912373089,-0.515079103044
apache singa,19,-1.21093794916,-0.502193608391,-0.368016809193,-0.340727531572
matconvnet,20,-1.28553245201,-0.487206396235,-0.346389221647,-0.451936834123
nvidia digits,21,-1.45452687179,-0.40701735659,-0.346158206186,-0.701351309011
nervana neon,22,-1.67068157517,-0.394843575038,-0.367177598577,-0.908660401554
opennn,23,-1.72386442206,-0.533883674444,-0.366251288855,-0.823729458766
