Package,Rank,Overall,Github,Stack Overflow,Downloads
d3,1.0,16.4268611312,7.53932834468,4.8686109921,4.0189217944
chart.js,2.0,4.96270609571,3.29245555895,0.455068651574,1.21518188519
highcharts,3.0,3.98517215402,0.454861006832,2.69473570432,0.835575442872
plottable,4.0,3.62497369712,-0.359284684542,2.89728920981,1.08696917185
leaflet,5.0,2.94220211247,1.47555797203,0.787750018783,0.678894121655
plotly.js,6.0,2.81906453327,-0.219922972244,3.18080301894,-0.141815513431
britecharts,7.0,2.42982022722,-0.21462483399,-0.232446385043,2.87689144626
echarts,8.0,2.3276323885,2.17941740827,-0.213832352394,0.362047332627
c3,9.0,0.918744804534,0.296475440617,0.512320482119,0.109948881798
graphael,10.0,0.713912570853,-0.38726681376,-0.201759054424,1.30293843904
flotr2,11.0,0.651618434489,-0.125534148224,-0.226810913798,1.00396349651
flot,12.0,0.454124206643,0.250075452919,0.140136150443,0.0639126032812
chartist,13.0,0.397885084274,0.595739935539,-0.207856578546,0.0100017272807
recharts,14.0,0.302483836841,0.184303864456,-0.228924215515,0.3471041879
mermaid,15.0,0.297707931992,0.580159865942,-0.22943772237,-0.0530142115807
morris.js,16.0,0.0450279814781,0.258909019142,-0.133906361646,-0.0799746760181
dc,17.0,0.0128049154236,0.304097970947,0.000646917680368,-0.291939973203
anychart,18.0,-0.006694294781,-0.378031482287,-0.216918904519,0.588256092025
jqplot,19.0,-0.0304260118471,-0.363870640022,0.0646486146554,0.268796013519
taucharts,20.0,-0.0358773174392,-0.271306430222,-0.232315029742,0.467744142525
deck.gl,21.0,-0.0534344613829,-0.10596107467,-0.231213625708,0.283740238996
react-vis,22.0,-0.064969701499,0.0825789650277,-0.231918059614,0.0843693930873
chartkick,23.0,-0.0891123809438,-0.0305809253447,-0.192445337297,0.133913881698
victory,24.0,-0.127451693124,0.159686025336,-0.231389734185,-0.0557479842749
chroma-js,25.0,-0.138695475579,-0.0539564655585,-0.232446385043,0.147707375023
piecon,26.0,-0.185456895212,-0.34907408277,-0.232446385043,0.396063572602
peek,27.0,-0.188276256523,-0.0789129486993,-0.232446385043,0.123083077219
webcola,28.0,-0.191485311421,-0.239384380632,-0.230622526853,0.278521596065
rickshaw,29.0,-0.2454661024,0.312512174911,-0.198367645295,-0.359610632016
cesium,30.0,-0.268159867871,0.0103983469672,-0.160507227092,-0.118050987746
nvd3,31.0,-0.310479666212,-0.383772044194,0.0875319920424,-0.0142396140604
cartodb,32.0,-0.314942758652,-0.198902461667,-0.207867897994,0.0918276010088
metrics-graphics,33.0,-0.336711972703,0.103369460234,-0.225362506359,-0.214718926577
jquery-sparkline,34.0,-0.338365611216,-0.268678601587,-0.20287438468,0.13318737505
dygraphs,35.0,-0.342208555027,-0.146519152059,-0.101597787073,-0.0940916158955
pizza pie charts,36.0,-0.354583778423,0.166324777744,-0.232446385043,-0.288462171123
fusioncharts,37.0,-0.364062019353,-0.388431736949,-0.125372431388,0.149742148984
cytoscape,38.0,-0.380356846427,-0.0743649211086,-0.112846090667,-0.193145834652
arbor,39.0,-0.438768675486,-0.112824680708,-0.219279800812,-0.106664193966
techan,40.0,-0.461502213161,-0.0994157817712,-0.231986641489,-0.130099789901
textures,41.0,-0.470250253314,-0.254681922951,-0.232446385043,0.0168780546802
amcharts,42.0,-0.524581260682,-0.37463866977,-0.025518925265,-0.124423665646
peity,43.0,-0.531036662388,-0.223932991448,-0.232446385043,-0.0746572858969
vega,44.0,-0.554948411968,-0.0788847322852,-0.216596622167,-0.259467057516
react-stockcharts,45.0,-0.555896217928,-0.223653214846,-0.232446385043,-0.0997966180387
datamaps,46.0,-0.579989079412,-0.0971463126682,-0.219942683218,-0.262900083526
dimple,47.0,-0.597136289337,-0.127843361077,-0.168190917306,-0.301102010955
zingchart,48.0,-0.614086235261,-0.387975963379,-0.198105232144,-0.0280050397384
vizabi,49.0,-0.641734477706,-0.266143021887,-0.232446385043,-0.143145070776
vx,50.0,-0.646860978499,-0.387611830096,-0.232446385043,-0.0268027633599
sigma,51.0,-0.667021831882,-0.384376808893,-0.206251272685,-0.0763937503038
jquery-mapael,52.0,-0.691206915635,-0.302299335662,-0.228571998562,-0.16033558141
xcharts,53.0,-0.692716647832,-0.388659623735,-0.230685300279,-0.073371723818
jsxgraph,54.0,-0.701699068742,-0.349383595725,-0.226810913798,-0.125504559219
gantt-chart,55.0,-0.71381945192,-0.342674438479,-0.158656933429,-0.212488080012
cubism,56.0,-0.727196345161,0.00156537258764,-0.216375760515,-0.512385957234
kartograph-js,57.0,-0.730725062161,-0.248287743045,-0.226810913798,-0.255626405318
epoch-charting,58.0,-0.758913110105,-0.0389699527723,-0.232446385043,-0.487496772289
uvcharts,59.0,-0.793433515979,-0.382852910803,-0.232270276567,-0.17831032861
koto,60.0,-0.797286274028,-0.369481025104,-0.232216513266,-0.195588735658
eventDrops,61.0,-0.833656702085,-0.309446666109,-0.232446385043,-0.291763650932
mapmap,62.0,-0.838414724277,-0.380790399038,-0.232446385043,-0.225177940195
smoothie,63.0,-0.851166441255,-0.382034217884,-0.230237471075,-0.238894752296
chroniton,64.0,-0.855148743513,-0.381032244389,-0.232446385043,-0.24167011408
cal-heatmap,65.0,-0.85908996771,-0.244563570115,-0.22769145618,-0.386834941414
kodama,66.0,-0.861592237509,-0.376359807002,-0.232446385043,-0.252786045463
colajs,67.0,-0.866963973272,-0.388659623735,-0.231132832032,-0.247171517505
vivagraphjs,68.0,-0.899914578355,-0.370094892631,-0.226816722248,-0.303002963476
envision,69.0,-0.917474567085,-0.238836055483,-0.232270276567,-0.446368235035
jenscript,70.0,-0.970041197464,-0.387898281657,-0.232446385043,-0.349696530764
simple map,71.0,-0.989207599658,-0.256190954545,-0.232446385043,-0.500570260069
dtree,72.0,-1.01898800389,-0.379761722347,-0.232446385043,-0.406779896498
n3-charts,73.0,-1.01912972379,-0.271808935228,-0.229359832918,-0.517960955641
webcharts,74.0,-1.04990580354,-0.294479572913,-0.232446385043,-0.52297984558
keen-dataviz,75.0,-1.05621332649,-0.375140263485,-0.232446385043,-0.448626677962
d4,76.0,-1.07046604859,-0.355603903887,-0.232446385043,-0.482415759661
bullet chart,77.0,-1.07914732344,-0.386882349596,-0.221445676026,-0.470819297822
jsdoc2diagram,78.0,-1.07979037561,-0.385763246551,-0.232446385043,-0.461580744016
maptable,79.0,-1.08810740402,-0.384709080597,-0.232446385043,-0.470951938381
graph-scroll,80.0,-1.14066556718,-0.359932538872,-0.232446385043,-0.548286643269
vizceral,81.0,-1.14570912794,-0.230381186395,-0.232446385043,-0.682881556503
xkcdplot,82.0,-1.49539073115,-0.373956223349,-0.232446385043,-0.888988122761
modestmaps,83.0,-1.5304795337,-0.318822188527,-0.23211799679,-0.979539348382
leaflet-dvf,84.0,-1.53805244787,-0.334550321157,-0.232446385043,-0.971055741665
billboard.js,,,-0.306941734053,-0.232315029742,-0.238722549151
charts-4-php,,,-0.345816302817,-0.224171001073,
chess-dataviz,,,-0.386219020122,-0.232446385043,
cirrus.js,,,-0.382366489588,-0.232446385043,
codeflower,,,-0.306394316834,-0.232446385043,
comic.js,,,-0.379430664577,-0.232446385043,
composite-projections,,,-0.384481193812,-0.232446385043,
dragit,,,-0.388659623735,-0.232446385043,-0.239045307846
ejscharts,,,-0.382982784984,-0.231240358633,-0.239246479361
ember-charts,,,,-0.228819295688,0.220741653501
fancycharts,,,-0.381793586467,-0.232446385043,
firespray,,,-0.381005541192,-0.232446385043,
forest-d3,,,-0.385620627738,-0.232446385043,
insight-js,,,-0.368657476447,-0.186406352001,
iopctrl,,,-0.384220231514,-0.232446385043,
leaflet-d3,,,-0.37435980446,-0.227867564657,
mapsense.js,,,-0.378388029319,-0.232446385043,-0.239370277217
micropolar,,,-0.377776892305,-0.232446385043,
mpld3,,,-0.242375431259,-0.217477164549,
nextcharts,,,-0.38473456986,-0.232446385043,
netvis,,,-0.388073975982,-0.232446385043,
pykcharts,,,-0.284669213093,-0.23135689536,
spam.js,,,-0.383349346136,-0.232446385043,
swoopyarrows,,,-0.28884036277,-0.232446385043,
timelinejs3,,,-0.357987459302,-0.232446385043,-0.239272270581
vaadin-charts,,,0.0447376260499,-0.225578154463,
vis.js,,,-0.183245641803,-0.169981044317,
zoomcharts,,,,-0.227867564657,
