Library,Rank,Overall,Github,Stack Overflow,Google Results,Market Cap Value,Volume Over 30 Days
bitcoin,1,36.4059991896,9.28297346096,6.74787413271,3.89165056717,8.49250694845,7.99099408027
ethereum,2,14.2335783273,-0.195736494782,5.52007467151,2.11246366613,4.00767819369,2.78909829073
tether,3,4.33991088241,1.149428592,-0.214384361531,-0.257764957891,-0.0943517389555,3.75698334879
bitcoin-gold,4,3.87206162898,-0.232091562086,-0.192066269277,4.68178264391,-0.171011491422,-0.214551692151
eos,5,3.21245688592,1.22042987335,-0.214384361531,-0.056603855314,0.434499231446,1.82851599797
ripple,6,2.98822174731,-0.0957367019777,-0.204465209418,1.26382440243,1.41083775683,0.613761499438
bitcoin-cash,7,1.95533267201,-0.0709075223464,-0.158589130897,0.0747282913234,1.13325100183,0.976850032094
neo,8,1.5076608889,0.306752769088,1.76696627297,-0.501842935954,0.015116645021,-0.0793318622296
icon,9,0.848793422692,-0.233454396378,-0.204465209418,1.59743027013,-0.138243420559,-0.172473821081
stellar,10,0.620518255848,0.192617122066,0.538722574936,-0.102565890025,0.150291636409,-0.158547187538
litecoin,11,0.596631364695,-0.222067350678,0.0518418997814,0.282862798554,0.246278205214,0.237715811823
tron,12,0.568529528559,0.0227442190476,-0.215624255545,0.246421776461,0.0352742729514,0.479713515644
nuls,13,0.435482170446,-0.187108524409,1.28464750149,-0.202526831276,-0.218618754809,-0.240911220555
cardano,14,0.298168892462,0.237945091559,-0.173467859066,0.0446549576212,0.168570670062,0.020466032286
monero,15,0.289154758418,0.569722316807,-0.154869448855,0.0768224663543,-0.0324285938752,-0.170091982013
komodo,16,0.219418562188,-0.225714394974,1.10610213863,-0.196544044639,-0.210614770315,-0.253810366516
zcash,17,0.0968548404652,0.616174819159,-0.199505633362,0.00095035553104,-0.14932856732,-0.171436133543
dash,18,-0.026967841369,0.108990460852,-0.210664679489,0.240477919446,-0.027421774125,-0.138349768053
iota,19,-0.168194572304,-0.0548158761677,-0.214384361531,0.142424317441,0.100096019667,-0.141514671713
status,20,-0.244297410963,-0.13378351119,-0.198265739348,0.489604210269,-0.204685754499,-0.197166616195
dogecoin,21,-0.351008636177,0.241428034837,-0.0798442198888,-0.0857493577788,-0.198586389608,-0.228256703738
verge,22,-0.484492677794,0.0566527680597,-0.213144467517,-0.0637312842493,-0.179323099983,-0.0849465941041
siacoin,23,-0.512478291132,0.263415899033,-0.213144467517,-0.176493370009,-0.188689760274,-0.197566592365
qtum,24,-0.534548880531,-0.0474778428286,-0.197025845334,-0.130630062415,-0.140807092275,-0.0186080376787
