toolkit,full_name,forks,stars,so_tag_counts,so_question_count,growth_rate,search_results,market_cap_value,thirty_day_market_cap_growth,thirty_day_volume
bitcoin,bitcoin/bitcoin,18925,31480,1266.0,2917,7.93333333333,17800000,1.42107098152e+11,6712000000.0,226036260864
ethereum,ethereum,84,109,1355.0,1737,6.92553191489,9750000,69037954704.0,20112100000.0,83521042176
ripple,ripple,167,643,,9,0.0149253731343,7350000,26728890798.0,2265600000.0,23923808576
bitcoin-cash,Bitcoin-ABC/bitcoin-abc,294,589,,46,0.993348115299,1600000,22206304200.0,11159900000.0,33871266912
eos,EOSIO/eos,1677,6939,,1,0.140877598152,1180000,10821879925.0,5363310000.0,57204175968
litecoin,litecoin-project,35,16,13.0,188,0.359649122807,2710000,7755285877.0,934780000.0,13621365856
cardano,input-output-hk/cardano-sl,388,2523,,34,5.0,563000,6489234631.0,1358060000.0,7669420432
stellar,stellar,181,2578,3.0,602,0.222222222222,948000,6191423186.0,1480980000.0,2765033800
iota,iotaledger,57,1114,,1,4.09677419355,1220000,5373610306.0,791520000.0,3231669968
tron,tronprotocol,142,1492,,0,8.70909090909,671000,4317500972.0,1968550000.0,20251324832
neo,neo-project/neo,743,2368,,1599,-8.88505747126,1130000,3989082500.0,-242810000.0,4935279008
dash,dashpay/dash,763,989,,4,3.45402298851,1820000,3296024633.0,429110000.0,3318378152
monero,monero-project/monero,1417,2973,,49,2.6,1250000,3214450943.0,247080000.0,2448743552
nem,NemProject,6,14,,375,-4.86315789474,352000,2876589000.0,97150000.0,1107781926
vechain,vechain,13,15,,2,2.89130434783,284000,2393450244.0,827290000.0,2869595230
tether,hardlydifficult/Crypto/blob/master,818,7963,,1,-0.523122824465,393000,2205567122.0,-76260000.0,110037980672
bytecoin-bcn,bcndev/bytecoin,75,96,,2,2.96666666667,55700,1882358133.0,,687985168
ethereum-classic,ethereumproject,130,320,,13,1.52631578947,435000,1793692624.0,214780000.0,7954026616
icon,,0,0,,9,2.88095238095,8260000,1490461205.0,496020000.0,2383488820
qtum,qtumproject/qtum,220,878,,15,2.4126984127,327000,1448692543.0,114840000.0,6598916552
binance-coin,binance-exchange,296,1194,,16,3.28488372093,187000,1403335095.0,-22050000.0,2575621720
omisego,omisego/ewallet,18,150,1.0,11,-0.363636363636,290000,1345084100.0,13840000.0,2880363120
zcash,zcash/zcash,1199,3671,,13,3.775,634000,1309856276.0,360921000.0,2411918122
lisk,LiskHQ,348,2313,,28,-0.42586544742,222000,1081312824.0,81460000.0,809007928
zilliqa,Zilliqa/Zilliqa,87,416,,1,4.65486725664,139000,1067299456.0,732867000.0,2882796370
aeternity,aeternity/epoch,85,527,,0,2.19791666667,60200,991241126.0,494516000.0,1011301964
bitcoin-gold,satoshilabs/bitcoin-gold,3,4,,19,102.0,413000,956586892.0,164566000.0,1230690448
ontology,ontio/ontology,80,182,,0,3.77876106195,183000,873704372.0,394057000.0,3620701280
verge,vergecurrency/VERGE,388,1291,,2,2.41346153846,638000,821169878.0,-455244000.0,4781453408
nano,nanocurrency/raiblocks,417,2049,,2,1.91071428571,517000,796895391.0,-387000.0,773004245
0x,0xProject,49,956,,0,2.46808510638,184000,740763874.0,404015000.0,855374395
steem,steemit/steem,527,1389,,32,1.83146067416,468000,718810327.0,112959000.0,810016339
wanchain,wanchain,48,177,,1,0.914728682171,53100,676508774.0,101665000.0,741724730
siacoin,NebulousLabs/Sia,412,2654,,2,1.97802197802,211000,668563417.0,118393000.0,1696027569
decred,decred,76,33,,10,1.8951048951,87500,664041741.0,263742000.0,295624354
populous,bitpopulous,2,41,,233,2.51948051948,229000,649413271.0,-30807000.0,261155530
bytom,Bytom/bytom/tree/master/crypto,235,743,,4,2.15315315315,65800,642112590.0,-215982000.0,3265564792
bitshares,Xenland/BitShares,71,35,,12,2.28409090909,261000,638685284.0,59882000.0,1009026328
bitcoin-diamond,eveybcd/BitcoinDiamond,32,75,,2,1.83739837398,66400,617412564.0,192526000.0,354040692
waves,wavesplatform/WavesDevKit,15,24,,1,1.73076923077,662000,596861000.0,168865000.0,1089900576
stratis,stratisproject,197,459,,3,1.8097826087,103000,569192002.0,126240000.0,445916714
