package,full_name,forks,stars,so_alias,so_tag_count,so_question_count,search_results,growth_rate
apache storm,apache/storm,3314,4496,apache-storm,2086,2209,44000,-0.205128205128
stratio crossdata,Stratio/crossdata,40,154,stratio-crossdata,0,0,83,4.0
kite,kite-sdk/kite,203,301,kite,9,330,217,0.444444444444
twitter gizzard,twitter-archive/gizzard,208,2144,twitter-gizzard,0,4,46,-1.0
apache knox,apache/knox,62,37,knox-gateway,20,33,1640,-0.280769230769
apache reef,apache/reef,88,72,apache-reef,0,2,266,-0.125
apache tajo,apache/tajo,95,97,apache-tajo,7,12,1610,-0.539007092199
pachyderm,pachyderm/pachyderm,206,2159,pachyderm,0,6,58,-0.6
nextflow,nextflow-io/nextflow,77,379,nextflow,0,4,1730,-0.00408163265306
apache sqoop,apache/sqoop,293,334,apache-sqoop,256,397,6740,-0.108776266996
apache metamodel,apache/metamodel,74,72,apache-metamodel,38,61,217,-0.689655172414
apache vxquery,apache/vxquery,24,15,apache-vxquery,0,1,1120,2.34756097561
cascalog,nathanmarz/cascalog,179,1308,cascalog,26,34,1330,0.0227272727273
parsely streamparse,goavki/streamparser,1,3,streamparse,16,25,93,-0.5
datasalt pangool,datasalt/pangool,13,59,datasalt-pangool,0,0,45,0.0
apache parquet,apache/parquet-mr,368,456,parquet,832,1965,3510,0.765531062124
succinct spark,amplab/succinct,43,172,succinct-spark,0,3,59,-1.0
blaze,blaze/blaze,294,2119,blaze,103,2044,38,-0.5
netflix staash,Netflix/staash,36,170,netflix-staash,0,0,18,
skale,skale-me/skale-engine,23,161,skale,0,8,30,-0.75
metamarkets druid,druid-io/druid,1326,5443,druid,146,304,75,-0.666666666667
distributedr,vertica/DistributedR,57,143,distributedr,0,3,265,-0.806451612903
twitter tsar,NA,0,0,twitter-tsar,0,1,63,0.0
sigmoidanalytics spork,sigmoidanalytics/spork,26,85,sigmoidanalytics-spork,0,0,9,
apache ambari,apache/ambari,706,684,ambari,465,833,7240,0.291666666667
amplab simr,NA,0,0,amplab-simr,0,0,31,0.0
apache calcite,apache/calcite,406,514,calcite,47,88,1530,-0.309027777778
stratio streaming,Stratio/sparta,137,381,stratio-streaming,0,9,76,-1.0
apache gora,apache/gora,68,62,gora,39,125,875,0.0727272727273
apache helix,apache/helix,75,102,apache-helix,0,14,670,-0.106382978723
apache edgent,apache/incubator-edgent,107,62,apache-edgent,4,6,323,0.140845070423
disco,discoproject/disco,248,1474,disco,26,1117,195,-0.272727272727
ebay oink,eBay/oink,8,23,ebay-oink,0,0,6,
rackerlabs blueflood,rackerlabs/blueflood,85,546,rackerlabs-blueflood,0,1,64,-0.666666666667
torch,mattstauffer/Torch,102,793,torch,778,1851,9090,-0.0979020979021
pinterest pinlater,NA,0,0,pinterest-pinlater,0,0,28,0.0
google mapreduce,dbravender/go_mapreduce,15,75,google-mapreduce,0,281,3330,-0.377358490566
apache twill,apache/twill,26,26,apache-twill,12,12,493,-0.466666666667
google dataflow,GoogleCloudPlatform/DataflowJavaSDK,336,784,google-dataflow,0,668,1660,-0.0529411764706
