Package,Rank,Overall,Github,Stack Overflow,Downloads
d3,1.0,16.3415577981,7.50236658127,4.84197427048,3.99721694633
chart.js,2.0,4.93473341144,3.27270340809,0.453535583698,1.20849441966
highcharts,3.0,3.95794833931,0.446472138955,2.68053645732,0.830939743039
plottable,4.0,3.73661370692,-0.225459347125,2.88095087489,1.08112217916
plotly.js,5.0,3.18097852956,0.159344984991,3.1628757988,-0.141242254235
leaflet,6.0,2.92286882152,1.46341549922,0.78436071579,0.675092606501
britecharts,7.0,2.41147987399,-0.220146746111,-0.230052076162,2.86167869626
echarts,8.0,2.3123795669,2.16393911829,-0.211544110352,0.35998455896
c3,9.0,0.908379744695,0.288898409909,0.51030523548,0.109176099305
graphael,10.0,0.704228926404,-0.392196011272,-0.19953805926,1.29596299694
flotr2,11.0,0.642600327763,-0.131504016161,-0.224448553058,0.998552896982
flot,12.0,0.446401998911,0.242570873545,0.140412734631,0.0634183907352
chartist,13.0,0.391139374304,0.586970202124,-0.20560226595,0.0097714381288
mermaid,14.0,0.291874313313,0.571831219686,-0.227060251172,-0.0528966552015
recharts,15.0,0.194517683477,0.0759705912873,-0.226549874222,0.345096966411
morris.js,16.0,0.0396792616193,0.251472140734,-0.132076584096,-0.0797162950181
sigma,17.0,0.0247368372321,0.304892674364,-0.204004893956,-0.0761509431754
dc,18.0,0.00750364359247,0.296366531391,0.00171300113175,-0.29057588893
anychart,19.0,-0.0125869773012,-0.382994939401,-0.214612799831,0.58502076193
jqplot,20.0,-0.0363091286027,-0.368900655499,0.0653586574861,0.26723286941
deck.gl,21.0,-0.0586712026593,-0.111940163809,-0.228826305483,0.282095266632
taucharts,22.0,-0.0589031566115,-0.294119462386,-0.229921507201,0.465137812975
piecon,23.0,-0.0656524066315,-0.229434580526,-0.230052076162,0.393834250056
chartkick,24.0,-0.0940469572538,-0.0368236768572,-0.190278924126,0.13305564373
chroma-js,25.0,-0.143394388716,-0.0600839301838,-0.230052076162,0.14674161763
webcola,26.0,-0.251097359049,-0.299764763227,-0.228238745157,0.276906149335
cesium,27.0,-0.272345642839,0.00376818875361,-0.158521447646,-0.117592383947
textures,28.0,-0.318763574988,-0.105343382331,-0.230052076162,0.0166318835053
cartodb,29.0,-0.319025546336,-0.204600644718,-0.20561480262,0.0911899010029
metrics-graphics,30.0,-0.34006895027,0.0966937783915,-0.223009877813,-0.213752850849
jquery-sparkline,31.0,-0.342403219007,-0.27408220688,-0.200649170982,0.132328158854
dygraphs,32.0,-0.346109055424,-0.152405456282,-0.0999452740869,-0.0937583250545
fusioncharts,33.0,-0.36814042886,-0.393356799693,-0.123585137183,0.148801508015
victory,34.0,-0.369488587594,-0.0848635384975,-0.22900141558,-0.0556236335167
react-vis,35.0,-0.374931454204,-0.229173152552,-0.229526745871,0.0837684442193
rickshaw,36.0,-0.376876639588,0.177179014445,-0.196167064056,-0.357888589977
cytoscape,37.0,-0.383916854329,-0.0804913618205,-0.111127246953,-0.192298245555
peity,38.0,-0.389450355073,-0.0849734269984,-0.230052076162,-0.0744248519123
vega,39.0,-0.434358767816,0.0382045204978,-0.214292167431,-0.258271120882
arbor,40.0,-0.442078801265,-0.118855681476,-0.216960624464,-0.106262495325
vx,41.0,-0.492716520776,-0.235845547104,-0.230052076162,-0.02681889751
peek,42.0,-0.4964833216,-0.388713646012,-0.230052076162,0.122282400574
amcharts,43.0,-0.527847050582,-0.379620015399,-0.0242977121806,-0.123929323003
xcharts,44.0,-0.546307329026,-0.244862110975,-0.228300975192,-0.0731442428598
datamaps,45.0,-0.582558568314,-0.103252418637,-0.217619259275,-0.261686890402
dimple,46.0,-0.599633652922,-0.133790490555,-0.166160369658,-0.299682792709
zingchart,47.0,-0.602859108324,-0.378937598002,-0.195905607246,-0.0280159030761
react-stockcharts,48.0,-0.619498919678,-0.290014508573,-0.230052076162,-0.0994323349432
techan,49.0,-0.635875050868,-0.276704435206,-0.229595084797,-0.129575530864
jquery-mapael,50.0,-0.693416941047,-0.30756429742,-0.226199654028,-0.159652989599
jsxgraph,51.0,-0.703918648688,-0.354465963118,-0.224448553058,-0.125004132512
vivagraphjs,52.0,-0.714972004115,-0.188943274541,-0.224454661949,-0.301574067625
gantt-chart,53.0,-0.716010139084,-0.347796696059,-0.156680945517,-0.211532497509
smoothie,54.0,-0.727258182852,-0.261600828972,-0.227855882723,-0.237801471157
cubism,55.0,-0.728752104561,-0.00481851691371,-0.214072516199,-0.509861071449
kartograph-js,56.0,-0.732643731033,-0.253750094777,-0.224448553058,-0.254445083198
vizabi,57.0,-0.747742256643,-0.375095672601,-0.230052076162,-0.14259450788
epoch-charting,58.0,-0.760283699982,-0.0451295827335,-0.230052076162,-0.485102041087
uvcharts,59.0,-0.770448838855,-0.363038338223,-0.229876966065,-0.177533534567
koto,60.0,-0.799017563741,-0.374472163859,-0.22982358048,-0.194721819402
eventDrops,61.0,-0.835127219211,-0.314681947697,-0.230052076162,-0.290393195352
mapmap,62.0,-0.839953350134,-0.385745287702,-0.230052076162,-0.22415598627
chroniton,63.0,-0.856597279307,-0.385983442947,-0.230052076162,-0.240561760198
cal-heatmap,64.0,-0.860319548906,-0.250025986684,-0.225324103543,-0.384969458679
kodama,65.0,-0.862998547527,-0.381326859109,-0.230052076162,-0.251619612256
colajs,66.0,-0.868364325266,-0.393583585314,-0.228746386549,-0.246034353403
pizza pie charts,67.0,-0.871310816012,-0.354149820942,-0.230052076162,-0.287108918908
envision,68.0,-0.918403539708,-0.244337727974,-0.229876966065,-0.444188845669
jenscript,69.0,-0.970899715948,-0.392824708039,-0.230052076162,-0.348022931746
n3-charts,70.0,-1.01957619693,-0.277183873189,-0.226983386683,-0.515408937054
dtree,71.0,-1.01958100808,-0.384721394867,-0.230052076162,-0.404807537054
keen-dataviz,72.0,-1.05660680879,-0.380118531659,-0.230052076162,-0.446436200969
d4,73.0,-1.07074970345,-0.360650144076,-0.230052076162,-0.480047483208
bullet chart,74.0,-1.07944254534,-0.391814245362,-0.219116606765,-0.468511693215
jsdoc2diagram,75.0,-1.08007202947,-0.39069840196,-0.230052076162,-0.459321551353
maptable,76.0,-1.08834334848,-0.389647648811,-0.230052076162,-0.468643623505
simple map,77.0,-1.11747660186,-0.389317542997,-0.230052076162,-0.4981069827
graph-scroll,78.0,-1.14058684541,-0.36496113141,-0.230052076162,-0.545573637841
webcharts,79.0,-1.1429909872,-0.392539547243,-0.230052076162,-0.520399363798
vizceral,80.0,-1.18103078177,-0.271513772567,-0.230052076162,-0.679464933042
xkcdplot,81.0,-1.50812793101,-0.393583585314,-0.230052076162,-0.884492269532
modestmaps,82.0,-1.52832782276,-0.324030751299,-0.229725653759,-0.974571417704
leaflet-dvf,83.0,-1.53587211935,-0.3396897953,-0.230052076162,-0.966130247883
billboard.js,,,-0.312149149311,-0.229921507201,-0.233409877542
charts-4-php,,,-0.350913853059,-0.2218262316,
chess-dataviz,,,-0.391151973202,-0.230052076162,
cirrus.js,,,-0.387312641813,-0.230052076162,
codeflower,,,-0.311675819542,-0.230052076162,
comic.js,,,-0.384389228521,-0.230052076162,
composite-projections,,,-0.38942086319,-0.230052076162,
dragit,,,-0.393583585314,-0.230052076162,-0.233730907915
ejscharts,,,-0.387932029489,-0.228853157719,-0.233931002189
ember-charts,,,,-0.226446476385,0.219429265818
fancycharts,,,-0.386742320221,-0.230052076162,
firespray,,,-0.385958643165,-0.230052076162,
forest-d3,,,-0.390554791295,-0.230052076162,
insight-js,,,-0.373661093009,-0.184287655223,
iopctrl,,,-0.389162562708,-0.230052076162,
leaflet-d3,,,-0.379339509148,-0.22549921364,
mapsense.js,,,-0.383353966062,-0.230052076162,-0.234054137126
micropolar,,,-0.382743353998,-0.230052076162,
mpld3,,,-0.247867098785,-0.215167717916,
nextcharts,,,-0.389674509126,-0.230052076162,
netvis,,,-0.392999833564,-0.230052076162,
pykcharts,,,-0.364325186084,-0.22896877334,
spam.js,,,-0.386982536,-0.230052076162,
swoopyarrows,,,-0.38829158963,-0.230052076162,
timelinejs3,,,-0.260147557812,-0.230052076162,-0.233956655301
vaadin-charts,,,-0.387801848982,-0.223222782379,
vis.js,,,0.152626338523,-0.167942015086,
zoomcharts,,,-0.39290322845,-0.22549921364,
