Package,Rank,Overall,Github,Stack,Downloads,forks,stars,so_question_count,so_tag_counts
numpy,1,1.72,-0.13,2.0,3.3,-0.06,-0.2,0.98,3.03
tensorflow,2,1.3,4.56,0.01,-0.67,4.62,4.5,-0.22,0.23
pandas,3,1.13,0.32,2.04,1.04,0.31,0.33,0.63,3.45
ipython,4,0.82,0.47,-0.02,2.01,0.29,0.65,-0.06,0.02
scikit-learn,5,0.78,1.48,0.01,0.85,1.72,1.23,-0.22,0.23
matplotlib,6,0.5,-0.02,1.03,0.5,0.04,-0.09,0.22,1.83
pattern,7,0.44,-0.17,2.08,-0.59,-0.29,-0.05,4.68,-0.51
scrapy,8,0.3,1.08,0.01,-0.2,0.71,1.46,-0.22,0.23
scipy,9,0.24,-0.22,0.18,0.77,-0.12,-0.31,-0.09,0.44
networkx,10,-0.08,-0.32,-0.35,0.44,-0.32,-0.33,-0.35,-0.35
plotly,11,-0.1,-0.42,0.64,-0.53,-0.42,-0.43,1.66,-0.38
nltk,12,-0.13,-0.18,-0.22,0.02,-0.21,-0.14,-0.29,-0.15
theano,13,-0.28,-0.02,-0.32,-0.5,-0.05,0.0,-0.34,-0.31
sympy,14,-0.31,-0.16,-0.36,-0.42,-0.08,-0.23,-0.36,-0.37
bokeh,15,-0.37,-0.12,-0.38,-0.62,-0.21,-0.02,-0.37,-0.4
seaborn,16,-0.41,-0.3,-0.38,-0.56,-0.39,-0.22,-0.37,-0.4
statsmodels,17,-0.42,-0.36,-0.4,-0.5,-0.3,-0.43,-0.37,-0.44
ggpy,18,-0.47,-0.37,-0.46,-0.59,-0.43,-0.31,-0.4,-0.51
jupyter,19,-0.48,-0.55,-0.34,-0.56,-0.5,-0.6,-0.32,-0.37
csvkit,20,-0.49,-0.4,-0.46,-0.61,-0.44,-0.35,-0.4,-0.51
pybrain,20,-0.49,-0.38,-0.44,-0.66,-0.36,-0.39,-0.39,-0.48
pymc,21,-0.53,-0.54,-0.43,-0.62,-0.49,-0.59,-0.39,-0.47
prettyplotlib,22,-0.54,-0.5,-0.46,-0.66,-0.5,-0.5,-0.4,-0.51
basemap,NA,NA,-0.55,-0.41,NA,-0.5,-0.61,-0.37,-0.45
d3py,NA,NA,-0.5,-0.46,NA,-0.48,-0.51,-0.4,-0.51
jupyter-notebook,NA,NA,-0.4,-0.3,NA,-0.39,-0.42,-0.3,-0.3
mlpy,NA,NA,NA,-0.46,-0.67,NA,NA,-0.4,-0.51
pylearn2,NA,NA,-0.33,-0.46,NA,-0.29,-0.37,-0.4,-0.51
pytables,NA,NA,-0.54,-0.42,NA,-0.5,-0.58,-0.38,-0.46
shogun,NA,NA,-0.42,-0.46,NA,-0.36,-0.49,-0.4,-0.51
