package,CRAN,Github_star,SO_body_r_tag
ahaz,4730,NA,0
arules,188712,20,251
BayesTree,8978,NA,2
biglasso,4016,12,2
bigRR,4296,NA,0
bmrm,3593,NA,0
Boruta,17817,3,5
bst,10734,NA,78
C50,57274,NA,44
caret,628521,462,1084
CORElearn,27412,NA,3
CoxBoost,13542,NA,0
Cubist,44359,NA,11
e1071,592277,NA,377
earth,73095,NA,185
elasticnet,26625,NA,9
ElemStatLearn,25375,NA,18
evclass,1604,NA,0
evtree,12936,NA,4
FCNN4R,4518,NA,0
frbs,6521,NA,10
GAMBoost,13281,NA,4
gamboostLSS,4838,3,0
gbm,114625,NA,242
glmnet,255268,NA,284
glmpath,5531,NA,0
GMMBoost,3314,NA,1
gmum.r,2400,15,1
grplasso,5309,NA,1
grpreg,7228,NA,2
h2o,59917,1655,180
hda,4847,NA,4
hdi,13777,NA,15
hdm,3716,NA,1
ipred,77769,NA,10
kernlab,341108,NA,128
klaR,108527,NA,40
lars,68621,NA,34
lasso2,13058,NA,2
LiblineaR,9354,NA,9
LogicForest,3277,NA,0
LogicReg,11451,NA,0
maptree,16113,NA,2
mboost,40358,15,13
mlr,22181,549,59
ncvreg,14182,10,1
nnet,350681,NA,281
oblique.tree,4338,NA,0
OneR,2509,3,38164
pamr,39277,NA,5
party,180408,NA,435
partykit,102669,NA,48
penalized,26822,NA,43
penalizedLDA,4954,NA,2
penalizedSVM,4335,NA,2
quantregForest,7996,NA,6
randomForest,429811,NA,646
randomForestSRC,32470,NA,14
ranger,34287,137,22
rattle,149821,NA,86
Rborist,5180,36,4
rda,7192,NA,240
rdetools,2874,NA,0
REEMtree,3676,NA,0
relaxo,4022,NA,1
rgenoud,26659,NA,9
rgp,4421,NA,12
Rmalschains,4623,NA,0
rminer,10643,NA,6
rnn,4091,21,11
ROCR,206198,NA,133
RoughSets,4241,8,1
rpart,248654,NA,514
RPMM,8295,NA,0
RSNNS,26222,7,28
RWeka,135824,NA,171
RXshrink,2976,NA,0
sda,7460,NA,11
SIS,4645,NA,6
spa,1953,NA,15
stabs,26075,8,25
SuperLearner,7181,74,3
svmpath,5050,NA,1
tgp,14380,NA,6
tree,125591,NA,1895
varSelRF,6726,4,1
vcrpart,3787,NA,1
